nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
1.9*5,171221,0.04624775444,1.1,end,9.28,29,9.15,4.06,,,,
1.9*1,171221,0.2804508043,1.9*5,end,8.03,25,2.99,2.55,,,,
1.7.5,171221,0.2900764821,,,,,,,,,,
1.7.4,171221,0.594982642,,,,,,,,,,
1.9.2,171221,0.6020749822,,,,,,,,,,
1.14.1,180109,0.0007471231863,1.14.2,end,,,,,3.19,27.7,1.36,6.07
1.12.1*2,180109,0.09158385699,1.12.1*5,end,,,,,4.81,11,2.14,5.82
1.16,180109,0.1295280481,end,end,,,,,4.33,76.3,4.55,4.15
1.10.1,180109,0.1264019202,end,end,,,,,4.07,53.1,2.11,20.2
1.12.2,180109,0.1536719801,end,end,,,,,3.35,7.6,1.82,15.7
1.3.1.1,180109,0.1060749442,end,end,,,,,2.33,79.5,2.9,5.86
1.5.2,180109,0.1751911123,end,end,,,,,2.31,16.7,2.83,4.28
1.6.1,180109,0.1733972542,1.6.2,end,,,,,3.85,28.8,2.43,6.27
1.8.2.6,180109,0.1653707332,end,end,,,,,5.32,23.8,4.49,21.4
1.12.1,180109,0.1840852372,,,,,,,,,,
1.9.4*5,180109,0.2234270467,,,,,,,,,,
1.8.5,180109,0.2298178416,,,,,,,,,,
1.9.6,180109,0.2629613442,,,,,,,,,,
1.8.4.1,180109,0.2877519364,,,,,,,,,,
1.14.2,180109,0.2900034063,,,,,,,,,,
1.5.2.1,180109,0.3412781289,,,,,,,,,,
1.11.1,180109,0.3539011242,,,,,,,,,,
1.9.5.1,180109,0.354301989,,,,,,,,,,
1.3.1,180109,0.3567930857,,,,,,,,,,
1.14.2.1,180109,0.3710591794,,,,,,,,,,
1.5.1.1,180109,0.5634840395,,,,,,,,,,
1.8.7,180109,0.5852041059,,,,,,,,,,
1.8.1.2*55,180109,0.5885601247,,,,,,,,,,
1.14,180109,0.6110276959,,,,,,,,,,
1.8.2.5,180109,0.6743759135,,,,,,,,,,
1.9.5.2,180109,0.7093946066,,,,,,,,,,
1.9.5.3,180109,0.7096682305,,,,,,,,,,
1.12.1*5,180109,0.7323933002,,,,,,,,,,
1.15,180109,0.7327430361,,,,,,,,,,
1.10*5,180109,0.7331433081,,,,,,,,,,
1.11.2,180109,0.8356998653,,,,,,,,,,
1.6.2,180109,0.8761735833,,,,,,,,,,
1.7.3.1,180109,0.8787396218,,,,,,,,,,
1.8.6,180109,0.8888754139,,,,,,,,,,
1.9.5.4,180109,0.9139762355,,,,,,,,,,
1.11.3,180109,0.9844934123,,,,,,,,,,
1,B,0.1342813286,NA,1.1,NA,NA,26.3,68.5,,,,
1.13,B,0.06885642313,end,end,4.85,13.9,5.64,7.98,6.15,145,6.86,13.8
1.2,B,0.007600252392,1.3,end,25.3,204,13.8,18.7,24.4,203,14.8,4.28
1.5,B,0.4583726174,1.6,1.5.*5,20.5,70.2,5.89,77.3,20.8,71.2,5.02,77.8
1.7,B,0.007880456308,1.8,1.7.1,15.6,18.2,9.24,120,14.3,18,10.2,120
1.8,B,0.4105277672,1.9,1.8.1,13.3,59.3,10.5,49.5,13.5,58.8,9.75,50.2
1.1,B,0.2459959484,1.2,end,23.3,100,4.45,7.51,25.7,96.9,5.24,1.88
1.5.1,B,0.1858815702,end,end,5.27,36,5.94,17.4,6.7,74,3.15,44.8
1.7.2,B,0.4989506524,1.7.3,end,7.06,31.4,3.63,1.75,7.34,28.4,5.03,15.1
1.7.3,B,0.453317169,end,end,6.33,117,4.63,4.98,4.55,178,3.6,21.8
1.8.1.1,B,0.3828027542,1.8.1.2,end,6.34,42.4,5.88,11.9,5.7,42.8,3.8,9.24
1.8.1.2,B,0.03123649888,1.8.1.2*5,end,5.83,51.4,8,6.18,4.93,133,4.36,17.6
1.8.1.2*5,B,0.427683587,1.8.1.3,end,3.94,37.3,5.38,2.21,3.03,11.6,1.46,10.5
1.8.1.3,B,0.2561733525,end,end,4.75,21.8,3.12,11.3,2.72,5.84,2.45,23.8
1.8.2,B,0.1286680116,1.8.3,1.8.2.1,7.67,51.3,5.5,12.2,8.25,55.7,6.06,12
1.8.2.1,B,0.3891793323,1.8.2.2,end,4.07,44.1,5.93,8.73,4.37,46,3.11,7.59
1.8.2.2,B,0.4114408479,1.8.2.4,end,5.35,50.6,4.25,5.46,3.65,59.2,2.12,34.6
1.8.2.3,B,0.2820547282,1.8.2.4,end,4.5,46.1,3.45,1.84,4.52,47.2,3.11,7.81
1.8.3,B,0.4202353287,1.8.4,end,6.85,68,8.1,34.2,8.75,69.7,9.52,38.2
1.8.4,B,0.2408620832,end,end,6.35,32,4.32,7.43,6.95,110,4.24,43.2
1.9.1,B,0.4409990738,1.9.3,end,6.98,77.3,5.31,2.45,9.22,85.7,5.8,12.3
1.9.3,B,0.1758538519,1.9.4,end,7.19,47.5,5.96,14,9.12,52.6,5.95,6.05
1.9.4,B,0.220094439,1.9.5,end,6.49,63.9,6.4,1.86,4.96,57,5.43,5.66
1.9.5,B,0.1592209104,end,end,3.75,32.7,3.57,33.4,3.4,51.5,2.92,53.7
1.9,B,0.5371757332,,,,,,,,,,
1.11,B,0.55815785,,,,,,,,,,
1.7.1,B,0.5836372556,,,,,,,,,,
1.6,B,0.6044772658,,,,,,,,,,
1.10,B,0.6782382794,,,,,,,,,,
1.5.*5,B,0.7938623686,,,,,,,,,,
1.8.1,B,0.8030643408,,,,,,,,,,
1.8.2.4,B,0.829650006,,,,,,,,,,
1.4,B,0.8857686552,,,,,,,,,,
1.12,B,0.8912016782,,,,,,,,,,
1.3,B,0.9078212187,,,,,,,,,,
