MEMORIAL OAK BRANCH 3,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
3-1,3.2,NA,,NA,,end,NA,,NA,
3-2,3.3,NA,,NA,,end,NA,,NA,
3-5-1,end,10.5,,115.6,,3.5.2,2.65,,30.2,
3-5-1-2,NA,NA,,NA,,end,NA,,NA,
3-5-3,3.5.4,10.3,,23,,end,1.87,,43.8,b
3-5-4,3.5.5,9,,32.2,,end,5.3,,36.4,b
3-5-5,3.5.7,9.5,,59.8,,end,1.58,,23.4,
3-5-7,3.5.8,7.8,,86,,end,4.09,,117.6,bm
3-5-8,end,6.7,,310.9,,3.5.8.1,5.4,,NA,
3-6,3.7,12.4,,109.2,,end,3.1,,154.6,
3-6-1,end,NA,,NA,,end,NA,,NA,
3-7,3.8,9.2,,72.2,,3.7.1,6.2,,60.2,
3-7-2,3.7.3,4.1,,32.4,,end,1.47,,47.8,b
3-7-3-1,NA,1.5,,10,b,end,1.78,,64.4,
3-7-4,3.7.5,2.35,,NA,,end,2.52,,17.8,b
3-8,3.11,8.2,,109,,end,1.92,,40.8,
3-9,3.11,8.2,,19.2,,end,1.38,,54.6,
3-11,3.13,6.7,,56.4,,end,4.1,,208.5,b
3-13,3.14,5.2,,19.6,,end,3.2,,95.6,b
3-14,3.15,4.7,,24,,end,3.5,,97.2,b
