WALNUT2 BRANCH 3,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
3,na,34.9,,na,,3.1,16,,200,
3.5,3.6,13.4,,76.2,,3.5.1,8.1,,60.3,
3.5.1,3.5.4,6,,84.1,,3.5.1.1,3.4,,62.9,
3.5.1.*1,end,na,,na,,end,na,,na,
3.5.1.1,3.5.1.2,2.53,,7.8,,end,1.51,,63,
3.5.1.2,end,2.39,,149.9,,end,1.37,,40.3,
3.5.10,3.5.11,2.02,,31.1,,end,1.43,,39.2,
3.5.11.1,end,1.25,,67.3,,end,1.18,,49,
3.5.4,3.5.5,5.9,,5.9,,end,2.28,,92.1,
3.5.4.3,end,1.43,,55.2,,end,0.78,,22.7,
3.5.5,3.5.6,4.8,,5.9,,end,2.41,,109.1,
3.5.6,3.5.7,4.8,,43.8,,end,3.8,,158.5,
3.5.7,3.5.9,3,,35.2,,3.5.7.1,3.8,,38,
3.5.7.1.1,end,0.89,,123.3,,end,0.87,,31,
3.5.7.1.4,end,0.89,,56.2,,end,0.85,,46.1,
3.5.7.4,3.5.7.5,2.53,,10.6,,end,1.32,,56.4,
3.5.7.5.1,end,1.14,,60.4,,end,1.11,,44.8,
3.5.8.4,end,1.3,,56.8,,end,2.11,,62.2,
test,end,na,b,na,b,end,na,b,na,b
