node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
1,both,0.554597089,NA,1.1,NA,NA,14.4,45.7,NA,NA,16.5,38.5
1.1,both,0.880369883,1.2,1.1.1,11.6,57.3,8.21,72.5,11.7,56.1,9.07,69.1
1.2,both,0.419348834,1.3,1.2.1,9.02,35.3,6.65,28.4,8.35,37,6.07,31.3
1.3,both,0.996566902,1.4,end,6.98,95.9,5.1,8.27,17.9,83.7,2.6,16.4
1.4,both,0.337384408,end,end,5.73,73.3,6.08,44.8,3.9,6.38,3.57,44
1.1.1,both,0.642870936,end,end,7.81,207,5.77,9.13,12,39.3,8.54,5.03
1.1.1.1,both,0.692622855,end,end,4.97,142,2.02,0.843,7.1,5.9,2.74,1.88
1.2.1,both,0.545855545,1.2.2,end,4.55,37.8,3.92,27.6,10.1,34.1,1.67,1.13
1.2.2,both,0.517571374,end,end,4.83,65.5,3.8,1.63,3.18,57.2,1.7,3.28
point 23,both,0.812229623,,,,,,,,,,
point 24,both,0.182390382,,,,,,,,,,
point 25,both,0.352102112,,,,,,,,,,
point 26,both,0.519836996,,,,,,,,,,
point 27,both,0.479093074,,,,,,,,,,
point 28,both,0.311896051,,,,,,,,,,
point 29,both,0.060650052,,,,,,,,,,
point 30,both,0.268570566,,,,,,,,,,
point 31,both,0.874175464,,,,,,,,,,
point 32,both,0.482026396,,,,,,,,,,
point 33,both,0.352136931,,,,,,,,,,
point 34,both,0.5655439,,,,,,,,,,
point 35,both,0.98036601,,,,,,,,,,
point 36,both,0.758365287,,,,,,,,,,
1.1.6,180222,0.058974673,end,end,2.8,16.7,3.3,13.6,,,,
1.1.2,180222,0.067486505,1.1.3,end,6.77,37.1,2.71,4.88,,,,
1.8.3,180222,0.07305181,end,end,NA,NA,NA,NA,,,,
1.8.1,180222,0.089629221,1.8.2,end,NA,NA,NA,NA,,,,
1.5,180222,0.262833216,1.6,end,6,12.4,5.01,2.66,,,,
1.6,180222,0.372747642,,,,,,,,,,
1.9,180222,0.429009616,,,,,,,,,,
1.7,180222,0.447363604,,,,,,,,,,
1.4.2,180222,0.538158732,,,,,,,,,,
1.1.1.2.1,180222,0.556397934,,,,,,,,,,
1.4.1,180222,0.564466201,,,,,,,,,,
1.1.4,180222,0.596992054,,,,,,,,,,
1.1.1.3,180222,0.644169155,,,,,,,,,,
1.1.5,180222,0.660854639,,,,,,,,,,
1.1.3,180222,0.670194049,,,,,,,,,,
1.8.2,180222,0.694425518,,,,,,,,,,
1.1.1.2,180222,0.776584794,,,,,,,,,,
1.8.2.1,180222,0.835238776,,,,,,,,,,
1.2.3,180222,0.878488609,,,,,,,,,,
1.8,180222,0.883969554,,,,,,,,,,
NA,180222,0.408200707,,,,,,,,,,
none,180323,0.726562678,,,,,,,,,,
