nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
15,both,,,,,,,,,,,
15.7.1,180222,,,,,,,,,,,
15.2,180222,,,,,,,,,,,
15.1,180222,,,,,,,,,,,
15.5,180222,,,,,,,,,,,
15.4,180222,,,,,,,,,,,
15.1,180222,,,,,,,,,,,
15.3,180222,,,,,,,,,,,
15.8.1,180222,,,,,,,,,,,
15.6,180222,,,,,,,,,,,
15.7,180222,,,,,,,,,,,
15.9,180222,,,,,,,,,,,
15.8,180222,,,,,,,,,,,
15.8.2,180222,,,,,,,,,,,
15.11,180222,,,,,,,,,,,
NA,180222,,,,,,,,,,,
none,180323,,,,,,,,,,,
