"","nodes","presence","random","mainnodeto","branchnodeto","maindiameter.171221","mainlength.171221","branchdiameter.171221","branchlength.171221","maindiameter.180109","mainlength.180109","branchdiameter.180109","branchlength.180109","node"
"1","3.14","B",0.01859465686,"3.15","end",3.53,27.3,5.66,24.9,3.96,24.5,4.39,49.6,"3.14"
"2","3.5.8","B",0.0761415262,"end","3.5.8.1",5.51,228,7.74,41.6,8.36,300,7.2,41.8,"3.5.8"
"3","3.5.1","B",0.1119308097,"end","3.5.2",12.2,29.1,4.03,26.9,11,29.1,3.48,8.76,"3.5.1"
"4","3.8","B",0.1550585391,"3.11","end",8.66,111,4.68,4.99,5.2,110,4.21,13,"3.8"
"5","3.13","B",0.1618607826,"3.14","end",7.52,19.1,4.35,9.14,7.5,18.4,6.07,43.7,"3.13"
"6","3.5.5","B",0.282896804,"3.5.7","end",10.5,61.4,2.42,0.062,10.2,61.9,3.2,10.4,"3.5.5"
"7","3.11","B",0.4247582713,"3.13","end",6.67,56.1,6.29,93.9,9.21,39.5,4.9,137,"3.11"
"8","3.1","B",0.4289151532,"3.2","end",18.3,99.9,6.14,3.69,21.2,96.2,7.42,2.96,"3.1"
"9","3.6","B",0.4855953809,"3.7","end",11.4,106,5.61,9.88,13.6,108,NA,NA,"3.6"
"10","3.2","B",0.4955603027,"3.3","end",19.4,65.5,5.84,9.4,19.5,66.6,5.67,8.22,"3.2"
"11","3.5.4","B",0.5243779691,"3.5.5","end",8.7,33.5,7.65,31.3,7.78,35.7,7.36,32.5,"3.5.4"
"12","3.5.7","B",0.6790608127,"3.5.8","end",9.38,88.1,6.12,23.9,8.93,89.5,6.93,78.8,"3.5.7"
"13","3.7","B",0.6935194627,"3.8","3.7.1",9.91,73.8,6.95,62.7,9.18,72.7,9.78,68.6,"3.7"
"14","3.5.8.1","B",0.8070055583,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.8.1"
"15","3.3","B",0.8191354568,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.3"
"16","3.5","B",0.8415598305,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5"
"17","3.5.2","B",0.8438198129,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.2"
"18","3.4","B",0.8845312631,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.4"
"19","3.15","B",0.9046205448,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.15"
"20","3.9","180109",0.04307036835,"3.11","end",NA,NA,NA,NA,8.78,18.9,5.34,22.3,"3.9"
"21","3.5.1.2","180109",0.06384821282,NA,"end",NA,NA,NA,NA,NA,NA,1.58,3.95,"3.5.1.2"
"22","3.5.3","180109",0.06686096548,"3.5.4","end",NA,NA,NA,NA,10.1,35.3,3.15,29.4,"3.5.3"
"23","3.7.3.1","180109",0.0946793495,NA,"end",NA,NA,NA,NA,NA,NA,3.83,13.3,"3.7.3.1"
"24","3.7.2","180109",0.1448447277,"3.7.3","end",NA,NA,NA,NA,6.39,34.3,3.45,19.7,"3.7.2"
"25","3.7.4","180109",0.2216048455,"3.7.5","end",NA,NA,NA,NA,6.07,24,3.49,13.3,"3.7.4"
"26","3.6.1","180109",0.2326392503,"end","end",NA,NA,NA,NA,3.24,24,2.59,6.43,"3.6.1"
"27","3.5.8.3","180109",0.3412586575,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.8.3"
"28","3.5.7.1","180109",0.409868888,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.7.1"
"29","3.14.3","180109",0.4452677836,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.14.3"
"30","3.5.1.1","180109",0.4465534969,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.1.1"
"31","3.7.1","180109",0.4739089492,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.7.1"
"32","3.5.6","180109",0.5117123826,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.6"
"33","3.5.11","180109",0.5473867676,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.11"
"34","3.5.9","180109",0.5799034494,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.9"
"35","3.5.1.3","180109",0.6019335921,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.1.3"
"36","3.10","180109",0.6032278051,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.10"
"37","3.11.1","180109",0.6092722155,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.11.1"
"38","3.14.2","180109",0.6283440692,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.14.2"
"39","3.14.1","180109",0.632569445,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.14.1"
"40","3.5.8.2.1","180109",0.6661300564,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.8.2.1"
"41","3.7.5","180109",0.7239476564,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.7.5"
"42","3.5.10","180109",0.7501176934,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.10"
"43","3.5.12","180109",0.7658673703,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.5.12"
"44","3.7.3","180109",0.8552520983,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.7.3"
"45","3.12","180109",0.8945164511,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.12"
"46","3.15.1","180109",0.9942897422,"","",NA,NA,NA,NA,NA,NA,NA,NA,"3.15.1"
