"","nodes","presence","random","mainnodeto","branchnodeto","maindiameter.171221","mainlength.171221","branchdiameter.171221","branchlength.171221","maindiameter.180109","mainlength.180109","branchdiameter.180109","branchlength.180109"
"1","5.16.5","172112",0.01308528538,"end","end",3.67,7.75,2.69,6.66,NA,NA,NA,NA
"2","5.18.*5","172112",0.2553835939,"5.18.1","end",5.51,41.9,3.83,15.7,NA,NA,NA,NA
"3","5.19.1","172112",0.2997102619,"","",NA,NA,NA,NA,NA,NA,NA,NA
"4","5.11.2*5","172112",0.320520578,"5.11.3","end",14.8,49.1,7.02,9.57,NA,NA,NA,NA
"5","5.10.1.2","172112",0.354446659,"end","end",7.52,10.8,4.8,4.93,NA,NA,NA,NA
"6","5.15.5.2","172112",0.3900167614,"","",NA,NA,NA,NA,NA,NA,NA,NA
"7","5.16.1","172112",0.5367881863,"","",NA,NA,NA,NA,NA,NA,NA,NA
"8","5.17*5","172112",0.7543282872,"","",NA,NA,NA,NA,NA,NA,NA,NA
"9","5.17.*5","172112",0.7571977942,"","",NA,NA,NA,NA,NA,NA,NA,NA
"10","5.11.12","172112",0.7827104738,"","",NA,NA,NA,NA,NA,NA,NA,NA
"11","5.8.1","172112",0.820480991,"","",NA,NA,NA,NA,NA,NA,NA,NA
"12","5.19.2","172112",0.8458232886,"","",NA,NA,NA,NA,NA,NA,NA,NA
"13","5.11.10*55","172112",0.983479229,"","",NA,NA,NA,NA,NA,NA,NA,NA
"14","5.15.5.1.1","172112",0.9873093907,"","",NA,NA,NA,NA,NA,NA,NA,NA
"15","5.10.2","181019",0.08274822667,"5.10.3","end",NA,NA,NA,NA,7.42,35.4,4.17,4.45
"16","5.10.5","181019",0.08545019087,"end","end",NA,NA,NA,NA,3.18,18.1,3.58,25.6
"17","5.11.5.5","181019",0.1744661492,"5.11.5.6","end",NA,NA,NA,NA,6.42,16.3,2.18,10.5
"18","5.17.7","181019",0.05582992402,"end","5.17.7.1",NA,NA,NA,NA,5.75,101,4.73,45.5
"19","5.7.4","181019",0.08026004362,"5.7.5","end",NA,NA,NA,NA,11.7,14.4,5.34,11.6
"20","5.7.5.2","181019",0.1382820627,"5.7.5.3","end",NA,NA,NA,NA,5.1,18.2,2.96,24.7
"21","5.7.5.3","181019",0.1776493501,"5.7.5.4","end",NA,NA,NA,NA,2.85,20,3.18,3.36
"22","5.7.8","181019",0.08773055667,"5.7.9","end",NA,NA,NA,NA,3.27,9.29,2.22,4.68
"23","5.7.9.1","181019",0.1820165279,"","",NA,NA,NA,NA,NA,NA,NA,NA
"24","5.7.6","181019",0.1881214502,"","",NA,NA,NA,NA,NA,NA,NA,NA
"25","5.7.3","181019",0.2335046458,"","",NA,NA,NA,NA,NA,NA,NA,NA
"26","5.7.10","181019",0.2353819692,"","",NA,NA,NA,NA,NA,NA,NA,NA
"27","5.7.5.1","181019",0.3070316919,"","",NA,NA,NA,NA,NA,NA,NA,NA
"28","5.17.7.1","181019",0.3366316782,"","",NA,NA,NA,NA,NA,NA,NA,NA
"29","5.11.4.2","181019",0.358623939,"","",NA,NA,NA,NA,NA,NA,NA,NA
"30","5.5","181019",0.4932946394,"","",NA,NA,NA,NA,NA,NA,NA,NA
"31","5.11.5.6","181019",0.6548091055,"","",NA,NA,NA,NA,NA,NA,NA,NA
"32","5.3","181019",0.6567431166,"","",NA,NA,NA,NA,NA,NA,NA,NA
"33","5.7.9","181019",0.7225738626,"","",NA,NA,NA,NA,NA,NA,NA,NA
"34","5.11.3.1.4","181019",0.7811623579,"","",NA,NA,NA,NA,NA,NA,NA,NA
"35","5.11.5.4.1","181019",0.8165780932,"","",NA,NA,NA,NA,NA,NA,NA,NA
"36","5.11.5.1","181019",0.8233936114,"","",NA,NA,NA,NA,NA,NA,NA,NA
"37","5.11.5.2","181019",0.8282577825,"","",NA,NA,NA,NA,NA,NA,NA,NA
"38","5.7.5.4","181019",0.8381309662,"","",NA,NA,NA,NA,NA,NA,NA,NA
"39","5.6.1","181019",0.8461433295,"","",NA,NA,NA,NA,NA,NA,NA,NA
"40","5.11.4.3","181019",0.8685206299,"","",NA,NA,NA,NA,NA,NA,NA,NA
"41","5.17.6","181019",0.895343646,"","",NA,NA,NA,NA,NA,NA,NA,NA
"42","5.10.3","181019",0.9161079003,"","",NA,NA,NA,NA,NA,NA,NA,NA
"43","5.15.1","181019",0.9375405036,"","",NA,NA,NA,NA,NA,NA,NA,NA
"44","5.10.4","181019",0.9901635232,"","",NA,NA,NA,NA,NA,NA,NA,NA
"45","5.11.1","B",0.5125430936,"5.11.2","end",17.5,7.33,3.07,7.61,21.2,12.4,4.54,7.55
