nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
10,B,0.4367524539,NA,10.1,NA,NA,32.2,106,NA,NA,37.1,107
10.1.2,B,0.2318686795,10.1.3,end,16.3,55.4,5.58,59.3,18.6,54.8,7.34,98.9
10.1.3,B,0.3112015867,10.1.4,10.1.3.2,12.9,81.6,9.8,61.4,13,82.3,10.9,59.4
10.1.3.1,B,0.4566395113,10.1.3.2,end,7.49,57.5,6.2,5.6,9.48,57.6,3.5,28.2
10.1.3.2,B,0.3565643123,end,end,6.12,51.3,7.12,106,10.4,49.6,10.8,102
10.1.4,B,0.05437698499,10.1.8,10.1.4.2,7.52,123,5.63,147,7.39,150,6.84,141
10.1.4.2,B,0.3570376197,end,end,6.7,10.8,2.9,11.8,7.7,14.3,4,5.36
10.1.9,B,0.4180863743,end,end,2.96,0,3.18,6.16,3.98,52.9,3.72,44.7
10.2,B,0.5195092763,10.3,10.2.1,28.4,114,12.3,204,30.2,111,12.9,204
10.2.1,B,0.2123728543,10.2.3,end,8.37,50.7,9.47,16.7,10.3,53.4,6.94,14.4
10.2.2,B,0.2119590972,10.2.3,end,8.55,49.4,5.32,12,9.79,49.2,5.48,6.29
10.3,B,0.5535911628,10.4,10.3.1,22.5,128,20.1,45.2,24.7,132,21.4,46.6
10.3.1,B,0.03775263036,10.3.2,end,18.9,34.8,6.68,5.07,24,34,12.4,7.72
10.3.3,B,0.08948835428,10.3.4,10.3.3.2,15.5,140,12.5,93,16.5,137,13.8,98.1
10.3.3.2,B,0.3586543686,10.3.3.3,10.3.3.2.1,9.22,41.7,11.4,81.6,13.6,45.8,12.1,77.8
10.3.3.2.*5,B,0.4847236329,10.3.3.2.1,end,9.44,46.9,5.6,2.62,9.07,42.9,5.15,2.4
10.3.3.2.1,B,0.3247026617,10.3.3.2.2,end,10.7,80.4,4.64,68.2,12.4,82.9,9.95,3.22
10.3.3.2.2.3,B,0.4467059396,10.3.3.2.2.4,end,5.36,108,4.63,1.39,7.03,79.2,1.04,6.42
10.3.3.3,B,0.2928038165,end,end,8.05,124,5.48,13.9,10.8,123,4.39,1.09
10.3.4,B,0.3791926664,10.3.5,10.3.4.1,9.91,78.1,12.2,141,11.6,80.5,10.7,144
10.3.5,B,0.2135697037,end,end,9.36,152,6.19,24.6,10.9,149,9.62,15.3
10.4,B,0.229291372,10.5,10.4.1,16.6,186,17.7,69.8,20,187,20.1,69.3
10.4.1,B,0.1930492185,10.4.2,end,15.6,125,12.8,53.2,16.9,124,10.4,49.7
10.4.3,B,0.5817271733,end,end,12.1,194,11.6,235,11.3,193,11.6,233
10.5,B,0.04704595633,10.6,end,15.2,58.1,12.2,70.6,15.2,58.7,13.1,69.9
10.6.*5,B,0.2136691863,end,end,8.43,183,7.27,7.19,9.79,182,9.05,2.37
10.3.4.1,B,0.5851922462,end,end,8.51,56.8,3.91,12.2,9.28,56.3,6.05,13.9
10.3.3.2*5,B,0.2904653288,10.3.3.3,end,9,41.4,5.03,4.87,,,3.73,
10.2.3,B,0.5910767369,,,,,,,,,,
10.3.3.2.2.4,B,0.6820265136,,,,,,,,,,
10.1,B,0.7223949169,,,,,,,,,,
10.4.1.1,B,0.7503358903,,,,,,,,,,
10.4.2,B,0.7698653953,,,,,,,,,,
10.3.3.2.2.*5,B,0.7740686915,,,,,,,,,,
10.6,B,0.8017006202,,,,,,,,,,
10.3.3.2.2.1,B,0.8262662141,,,,,,,,,,
10.3.2,B,0.8518523228,,,,,,,,,,
10.3.2*5,B,0.8776609711,,,,,,,,,,
10.3.3.2.2,B,0.9019719711,,,,,,,,,,
10.1.1,B,0.9082504833,,,,,,,,,,
10.3.*5,B,0.45460499,,,,,,,,,,
10.4.*1,171221,0.04274348942,10.5,end,20.8,188,5.08,26.6,,,,
10.4*5,171221,0.09092818196,10.5,end,16.8,34.6,5.02,13.2,,,,
10.2.5,171221,0.1103408976,10.2.6,end,4.95,32,3.57,8.04,,,,
10.2.3.1,171221,0.1205097006,end,end,3.7,15.7,4.36,8.14,,,,
10.2.4,171221,0.1423016547,10.5,end,6.38,25.9,2.77,18.6,,,,
10.3.4.*5,171221,0.1446042808,,,,,,,,,,
10.3.3.4,171221,0.2577799664,,,,,,,,,,
10.3.4*5,171221,0.2663849769,,,,,,,,,,
10.5.1,171221,0.2693289664,,,,,,,,,,
10.2.7.1,171221,0.3238513167,,,,,,,,,,
10.2.6,171221,0.4547639082,,,,,,,,,,
10.1.3.2.2,171221,0.8572993749,,,,,,,,,,
10.2.7,171221,0.9938850595,,,,,,,,,,
10.1.5,180109,0.04035704777,10.1.7,end,9.35,44.7,3.64,6.59,,,,
10.1.10,180109,0.09992189191,end,end,3.92,14.7,1.61,3.42,,,,
10.1.7,180109,0.1151619479,10.1.8,end,9.31,37.2,2.76,9.73,,,,
10.1.3.1.2,180109,0.1192663907,end,end,9.91,45.3,8.39,100,,,,
10.6.3,180109,0.1340097086,end,end,12.5,53.8,7.55,3,,,,
10.3.3.2.3,180109,0.1486611429,,,,,,,,,,
10.1.8,180109,0.187977043,,,,,,,,,,
10.1.4.1,180109,0.3086551055,,,,,,,,,,
10.1.3.2.1,180109,0.4279437376,,,,,,,,,,
10.3.3.2.2.2,180109,0.5697465059,,,,,,,,,,
10.6.1,180109,0.7650274635,,,,,,,,,,
10.3.3.1,180109,0.9056030527,,,,,,,,,,
10.6.2,180109,0.947400477,,,,,,,,,,
10.1.6,180109,0.9745671023,,,,,,,,,,
