nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
13.4.1,171221,0.0417157284,end,end,4.45,18.2,4.11,20.5,,,,
13.3,171221,0.5566052832,,,,,,,,,,
13.1.2,171221,0.6788431833,,,,,,,,,,
13.7,171221,0.6844595951,,,,,,,,,,
13,B,0.9240323875,NA,13.1,NA,NA,20.6,88.1,NA,NA,22.2,84.6
13.1,B,0.702870985,13.2,13.1.1,17.9,67.8,13.4,170,19.7,67.7,17.7,169
13.2,B,0.4325931944,13.4,end,13.8,174,10.9,8.45,17.8,195,13.2,9.85
13.4,B,0.6851724306,,,,,,,,,,
13.5,B,0.3157980002,13.6,end,11.1,66.5,12.7,15.8,11.2,66.9,10.7,18.3
13.6,B,0.5108970987,13.8,end,9.01,78.7,8.28,42.3,8.39,76.4,13.3,40.8
13.8,B,0.4801757107,13.9,end,6.41,23.1,5.59,18.5,9.5,21.2,4.69,20.8
13.*5,B,0.1686015124,13.1,end,18.8,86.7,8.14,16.2,20.5,84.4,13.8,14.1
13.8.1,B,0.1046017474,end,end,4.43,7.28,4.24,1.2,4.71,6.55,1.3,2.8
13.9,B,0.7416758915,,,,,,,,,,
13.1.1,B,0.9411029994,,,,,,,,,,
