node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
7,both,0.5132511154,NA,7.1,18.2,NA,12.1,49.9,19.6,NA,14.2,53.4
7.2,both,0.3144369935,7.4,end,12,88.9,2.03,0.809,11.4,92.6,2.43,5.23
7.3,both,0.3585182222,7.4,end,11.7,80.7,2.69,5.3,10.9,80.5,4.16,14.7
7.4,both,0.3847079562,7.5,1.4.1,11.8,149,7,48.5,10.3,153,8.73,58.2
7.4,both,0.7143183426,,,,,,,,,,
7.6,both,0.7219302851,end,end,4.8,12.7,2.29,3.55,7.22,93.2,5.3,22.5
7.1.1,both,0.1807300683,7.1.2,end,12.2,34.7,3.38,4.91,11.2,34.4,6.08,11.3
7.1.3,both,0.3735385642,end,end,2.69,47.3,2.73,15.1,3.16,53,4.38,7.89
7.4.1,both,0.3586058805,7.4.2,end,4.87,82.5,4.41,1.27,7.17,42.7,5.28,3.3
7.4.3,both,0.5714909431,7.4.4,end,6.56,12.8,2.44,2.55,5.08,17.2,3.64,5
7.4.4,both,0.6750259628,7.4.5,end,6.86,14.1,5.68,11.6,8.09,12.7,4.08,16.3
7.4.5,both,0.6959916264,end,end,5.59,123,2.96,27.8,5.59,168,3.85,35.3
7.1.1*1,both,0.7247475266,7.1.2,end,12.2,33.3,1.47,2.75,10.9,31.6,4.07,4.18
7.1.2,both,0.7375044361,,,,,,,,,,
7.4.2,both,0.868019265,,,,,,,,,,
7.1,both,0.8789406553,,,,,,,,,,
7.5,both,0.9306700423,,,,,,,,,,
point 23,both,0.2166601264,,,,,,,,,,
point 24,both,0.07829857926,,,,,,,,,,
point 25,both,0.581729072,,,,,,,,,,
point 26,both,0.4991547015,,,,,,,,,,
point 27,both,0.7342163885,,,,,,,,,,
point 28,both,0.753656017,,,,,,,,,,
point 29,both,0.8737635194,,,,,,,,,,
point 30,both,0.0810503388,,,,,,,,,,
point 31,both,0.4565152333,,,,,,,,,,
point 32,both,0.3875019768,,,,,,,,,,
point 33,both,0.9694883907,,,,,,,,,,
point 34,both,0.3437104753,,,,,,,,,,
point 35,both,0.535212189,,,,,,,,,,
point 36,both,0.1237076118,,,,,,,,,,
7.1.3.1,180228,0.08322483579,end,end,2.13,2.71,2.26,3.95,,,,
7.1.6,180228,0.2649368058,end,end,1.97,5.41,2.79,5.86,,,,
7.1.5,180228,0.5024419259,,,,,,,,,,
7.1.7,180228,0.6923450602,,,,,,,,,,
7.1.4,180228,0.9759891494,,,,,,,,,,
NA,180228,0.6597208293,,,,,,,,,,
7.1.2*1,180328,0.322631801,7.1.2*2,end,,,,,3.69,10,2.62,1.15
7.3*1,180328,0.001171055451,7.3*2,end,,,,,9.99,22.2,2.93,1.6
7.4.5.1,180328,0.1582030193,end,end,,,,,3.93,0.59,3.78,6.95
7.4*1,180328,0.1627334477,7.5,end,,,,,11.1,53.2,7.36,1.32
7.5*1,180328,0.08395771206,7.5*2,end,,,,,7.36,85.9,3.14,12.5
7.4.1.1,180328,0.3370589364,,,,,,,,,,
7.5*2,180328,0.4470483374,,,,,,,,,,
7.3*2,180328,0.5947033675,,,,,,,,,,
7.1.2*2,180328,0.6863212037,,,,,,,,,,
7.1.3*1,180328,0.7308407065,,,,,,,,,,
7.1.3*3,180328,0.7330324651,,,,,,,,,,
7.1.3*2,180328,0.7988240875,,,,,,,,,,
7.4.4.1,180328,0.9606238173,,,,,,,,,,
7.3*3,180328,,,,,,,,,,,
NA,180328,0.8351258027,,,,,,,,,,
