node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
6,both,0.3255188734,NA,6.1,19.3,NA,19.3,86.7,20.8,NA,17.4,92.6
6.1,both,0.1906347774,6.2,end,17.4,94.6,1.3,11.9,17.8,97.1,2.2,11.9
6.10,both,0.4491126269,end,end,4.73,54.1,4.18,130,6.31,106,4.49,125
6.11,both,0.0312903068,end,end,4.6,55.6,2.78,23.2,5.09,90.6,5.14,156
6.2,both,0.520981555,6.3,6.2.1,12.7,66.4,13.7,119,12,66.5,15.2,120
6.3,both,0.3041772236,6.4,6.3.1,12.9,14.2,5.43,69.6,14.8,18.1,6.88,74
6.6,both,0.3879016049,6.8,end,12.9,60,1.93,4.4,11.5,57.6,4.74,37.2
6.8,both,0.07297217176,6.9,6.8.1,5.89,7.65,3.98,45,9.52,12,4.55,68.8
6.9,both,0.2858758451,6.10,end,5.25,49.2,4.02,19.6,6.06,49.5,6.44,18.1
6.2.1,both,0.4273262363,6.2.2,6.2.1.1,10.6,61,8.6,62.2,12.9,64.6,9.12,92.1
6.2.2,both,0.27293993,6.2.3,6.2.2.1,9.47,33.8,6.55,10.2,11.8,9.58,5.99,43.3
6.2.2.2.2,both,0.1687625036,end,end,2.98,14.5,6.61,16.4,4.4,53.4,3.47,26.3
6.2.3,both,0.2722282518,6.2.4,end,10.4,56.5,3.45,6.45,7.62,46.5,3.82,6.13
6.2.4,both,0.4110964105,6.2.6,end,8.78,21.3,7.11,1.96,NA,NA,NA,NA
6.2.5,both,0.4197008809,6.2.6,end,7.65,15.3,3.14,3.1,9.2,13.3,4.89,8.64
6.2.6,both,0.4528270564,6.2.9,end,5.65,54.7,9.54,16.6,6.63,56.3,6.13,20.6
6.2.7,both,0.5624557021,6.2.9,end,10.6,57.8,3.83,51.4,7.05,59.3,2.57,301
6.2.9,both,0.0237449964,6.2.10,end,4.21,44.1,2.33,27.8,5.65,47.9,3.65,104
6.4.2,both,0.4161319787,6.4.5,end,6.08,24.6,2.01,14.7,10.1,18.6,7.58,14.1
6.4.6,both,0.3432250534,6.4.7,end,6.13,52.2,3.76,4.62,7.65,56.2,2.34,4.75
6.4.8,both,0.04113171239,end,end,4.47,12.7,2.28,8.03,6.59,200,4.79,45.9
6.8.1,both,0.4566305368,end,end,4.5,13.5,1.85,3.04,5.21,35.7,2.99,6.69
6.4.5,both,0.5834824258,,,,,,,,,,
6.2.1.1,both,0.6600970154,,,,,,,,,,
6.2.10,both,0.6714673766,,,,,,,,,,
6.2.2.2,both,0.680433001,,,,,,,,,,
6.3.1,both,0.7670864271,,,,,,,,,,
6.4,both,0.8225912525,,,,,,,,,,
6.5,both,0.8524447821,,,,,,,,,,
6.2.2.1,both,0.9005751299,,,,,,,,,,
6.4.*1,both,0.9492986068,,,,,,,,,,
6.4.7,both,0.9686079275,,,,,,,,,,
point 23,both,0.5350141843,,,,,,,,,,
point 24,both,0.3002630867,,,,,,,,,,
point 25,both,0.3898586901,,,,,,,,,,
point 26,both,0.3172222527,,,,,,,,,,
point 27,both,0.4561015751,,,,,,,,,,
point 28,both,0.5832340192,,,,,,,,,,
point 29,both,0.948993635,,,,,,,,,,
point 30,both,0.3602458275,,,,,,,,,,
point 31,both,0.7279897178,,,,,,,,,,
point 32,both,0.7946149376,,,,,,,,,,
point 33,both,0.9888262812,,,,,,,,,,
point 34,both,0.9968955748,,,,,,,,,,
point 35,both,0.6990725924,,,,,,,,,,
point 36,both,0.07300816763,,,,,,,,,,
6.10.1,180228,0.2320534145,6.10.2,end,3.39,56.2,1.35,2.65,,,,
6.10.4,180228,0.1075257346,end,end,2.7,15.8,1.76,5.51,,,,
6.2.8,180228,0.1341279418,6.2.10,end,6.4,48.9,3.02,7.07,,,,
6.4.3,180228,0.2855586626,6.4.4,end,6.07,17.5,6.24,15.8,,,,
6.10.5,180228,0.3201485866,,,,,,,,,,
6.4.4,180228,0.3474150948,,,,,,,,,,
6.10.2,180228,0.5797543792,,,,,,,,,,
6.7,180228,0.714929517,,,,,,,,,,
6.2.2.2.1,180228,0.7647213009,,,,,,,,,,
6.10.3,180228,0.8004040616,,,,,,,,,,
6.2.1.2,180228,0.8106109004,,,,,,,,,,
6.4.1,180228,0.8155138608,,,,,,,,,,
6.3.1.1,180228,0.9442641158,,,,,,,,,,
NA,180228,0.5439894945,,,,,,,,,,
6.11.1,180328,0.06667033126,end,end,,,,,3.43,6.83,2.65,10.6
6.11.4,180328,0.04966053381,,,,,,,,,,
6.2.1.7.2,180328,0.1331326384,end,end,,,,,3.44,51.7,1.38,2.82
6.2.10.1,180328,0.2466684353,end,end,,,,,3.34,30.5,1.81,11.5
6.2.11,180328,0.2389961381,6.2.13,6.2.11.1,,,,,6.92,54.3,5.84,54.4
6.2.2.3,180328,0.2601046657,6.2.2.4,end,,,,,7.6,98.1,5.07,3.42
6.2.7.1,180328,0.08724758627,end,end,,,,,3.57,51.7,1.82,3.33
6.2.9.1,180328,0.03275464091,6.2.9.2,end,,,,,5.28,27.6,2.99,6.34
6.3.2.2,180328,0.3150521905,end,end,,,,,1.87,11.5,0.853,8.24
6.3.3,180328,0.01618871634,6.3.6,end,,,,,5.99,55,3.63,2.72
6.3.5,180328,0.06695674335,6.3.7,end,,,,,4.09,24.4,3.58,27.8
6.3.7,180328,0.3407066775,6.3.8,end,,,,,3.02,36.1,1.44,3.5
6.3.9.1,180328,0.3610940115,,,,,,,,,,
6.4.11.1,180328,0.1483726305,end,end,,,,,1.83,8.04,1.34,2.66
6.4.14,180328,0.1684848994,6.4.15,end,,,,,5.86,46.2,2.83,49.5
6.4.15.1,180328,0.3080045823,end,end,,,,,1.01,1.5,0.675,2.87
6.4.16,180328,0.1375403091,,,,,,,,,,
6.4.6*1.1,180328,0.2961918545,end,end,,,,,5.31,11.8,1.06,4.82
6.4.8.4,180328,0.103802603,6.4.8.5,end,,,,,3.11,12.2,1.55,5.33
6.5.2,180328,0.1171183226,end,end,,,,,2.02,3.65,3.5,8.96
6.5*2,180328,0.2485026285,6.9,end,,,,,10.9,67.5,4.49,5.83
6.4.7*3,180328,0.3688505746,6.4.9,end,,,,,9.58,42.5,2.66,5.76
6.4.14.1.1.1,180328,0.3914401818,end,end,,,,,4.2,1.95,2.02,4.96
6.3.1.3,180328,0.3946926533,end,end,,,,,4.47,53.5,1.26,4.93
6.2.12,180328,0.3971167826,,,,,,,,,,
6.2.10.2,180328,0.4010483192,,,,,,,,,,
6.5.1,180328,0.4020587239,,,,,,,,,,
6.5*1,180328,0.4119189367,,,,,,,,,,
6.4.11,180328,0.4126125197,,,,,,,,,,
6.2.2.2.2.1,180328,0.4139706,,,,,,,,,,
6.4.7*1,180328,0.4313048474,,,,,,,,,,
6.4.7*2,180328,0.4467124676,,,,,,,,,,
6.4.13,180328,0.4504018142,,,,,,,,,,
6.3.9,180328,0.4548261455,,,,,,,,,,
6.4.14.1.1,180328,0.4583341159,,,,,,,,,,
6.11.3,180328,0.4621559247,,,,,,,,,,
6.3.1.2,180328,0.4688635087,,,,,,,,,,
6.2.1.7.1,180328,0.4772619202,,,,,,,,,,
6.4.14.1,180328,0.4799326508,,,,,,,,,,
6.4.8.2,180328,0.499897051,,,,,,,,,,
6.2.11.1,180328,0.506023278,,,,,,,,,,
6.2.1.*1,180328,0.5178721447,,,,,,,,,,
6.2.2.2.4,180328,0.5241272131,,,,,,,,,,
6.2.9*1,180328,0.5254300353,,,,,,,,,,
6.3.9.2,180328,0.5398575786,,,,,,,,,,
6.2.1.5,180328,0.5968006099,,,,,,,,,,
6.2.2.4,180328,0.6150734017,,,,,,,,,,
6.4.15,180328,0.6194893471,,,,,,,,,,
6.2.14,180328,0.6281944121,,,,,,,,,,
6.3.1.0,180328,0.6359093202,,,,,,,,,,
6.4.8.3,180328,0.6450399252,,,,,,,,,,
6.3.1.4,180328,0.6652699535,,,,,,,,,,
6.2.9.2,180328,0.6772252466,,,,,,,,,,
6.11.1.2,180328,0.6789284518,,,,,,,,,,
6.2.*1,180328,0.688336,,,,,,,,,,
6.3.2.1,180328,0.7103742153,,,,,,,,,,
6.2.1.3,180328,0.7357977178,,,,,,,,,,
6.2.1.4.2,180328,0.741981271,,,,,,,,,,
6.4.9,180328,0.7795400829,,,,,,,,,,
6.2.1.6,180328,0.8041645332,,,,,,,,,,
6.11.5,180328,0.8127953931,,,,,,,,,,
6.11.2,180328,0.8230916241,,,,,,,,,,
6.4.8.2.1,180328,0.8293352765,,,,,,,,,,
6.11.1.1,180328,0.8294300974,,,,,,,,,,
6.4.8.5,180328,0.8336470529,,,,,,,,,,
6.2.1.4,180328,0.8417296457,,,,,,,,,,
6.2.13,180328,0.8472220034,,,,,,,,,,
6.4.10,180328,0.8577069158,,,,,,,,,,
6.2.1.4.1,180328,0.8689172897,,,,,,,,,,
6.4.12,180328,0.8726663165,,,,,,,,,,
6.4.8.1,180328,0.8761445037,,,,,,,,,,
6.2.2.2.3,180328,0.9039963198,,,,,,,,,,
6.2.1.7,180328,0.9162003608,,,,,,,,,,
6.9*1,180328,0.9186154246,,,,,,,,,,
6.2.1.8,180328,0.9191083034,,,,,,,,,,
6.3.2,180328,0.9242763399,,,,,,,,,,
6.3.8,180328,0.9316264643,,,,,,,,,,
6.2.11.2,180328,0.9494828769,,,,,,,,,,
6.4.6*1,180328,0.9588519478,,,,,,,,,,
6.3.4,180328,0.9627859787,,,,,,,,,,
6.11.1.3,180328,0.976344819,,,,,,,,,,
6.3.6,180328,0.9843810027,,,,,,,,,,
NA,180328,0.5386543283,,,,,,,,,,
