# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.090028,41.819875,33.923080
point 24,,,,,,,,-88.090041,41.819957,33.647379
point 25,,,,,,,,-88.089928,41.819941,33.655599
point 26,,,,,,,,-88.089871,41.819870,33.834388
point 27,,,,,,,,-88.089925,41.819793,34.094864
point 28,,,,,,,,-88.090031,41.819779,34.196671
point 29,,,,,,,,-88.090124,41.819831,34.041593
point 30,,,,,,,,-88.090129,41.819914,33.805883
point 31,,,,,,,,-88.090025,41.819887,33.858303
point 32,,,,,,,,-88.090011,41.820018,33.628251
point 33,,,,,,,,-88.089827,41.819916,33.796606
point 34,,,,,,,,-88.089909,41.819750,34.305954
point 35,,,,,,,,-88.090106,41.819766,34.349312
point 36,,,,,,,,-88.090189,41.819894,33.901388
10,,,,,,,,-88.090000,41.819874,37.843145
10-1,-88.089997,41.819871,38.513603,0.000003,-0.000002,0.000001,-0.000000,-88.089997,41.819871,38.513602
10-2,-88.089998,41.819872,38.544137,0.000005,0.000002,-0.000000,-0.000004,-88.089998,41.819872,38.544132
10-2-1,-88.089998,41.819870,38.721380,0.000003,0.000001,0.000002,-0.000003,-88.089998,41.819870,38.721378
10-2-2,-88.090000,41.819868,38.893768,0.000006,-0.000000,-0.000001,-0.000006,-88.090000,41.819868,38.893762
10-3,-88.089996,41.819871,38.882151,0.000003,-0.000002,0.000001,-0.000002,-88.089996,41.819871,38.882149
10-3-1,-88.089996,41.819871,39.171922,0.000007,0.000000,-0.000000,-0.000007,-88.089996,41.819871,39.171915
10-3-2,-88.089997,41.819872,39.209462,0.000006,0.000001,-0.000001,-0.000006,-88.089997,41.819872,39.209456
10-3-3,-88.089997,41.819872,39.346914,0.000003,-0.000000,0.000000,-0.000003,-88.089997,41.819872,39.346911
10-3-2-1,-88.090004,41.819873,39.761555,0.000002,-0.000001,0.000002,0.000000,-88.090004,41.819873,39.761555
10-3-3-1,-88.089996,41.819874,40.441274,0.000001,0.000000,-0.000001,0.000000,-88.089996,41.819874,40.441274
10-3-4,-88.089994,41.819871,39.896476,0.000004,-0.000001,0.000003,-0.000002,-88.089994,41.819871,39.896474
10-3-5,-88.089993,41.819871,40.171792,0.000003,-0.000001,-0.000000,0.000003,-88.089993,41.819871,40.171794
10-3-6,-88.089990,41.819869,40.695574,0.000001,0.000000,0.000001,-0.000000,-88.089990,41.819869,40.695574
10-3-7,-88.089991,41.819871,40.937322,0.000002,0.000001,0.000000,-0.000000,-88.089991,41.819871,40.937321
10-3-8,-88.089991,41.819870,41.065443,0.000001,0.000000,0.000000,0.000000,-88.089991,41.819870,41.065443
10-3-9,-88.089992,41.819872,41.243604,0.000001,-0.000001,0.000000,-0.000001,-88.089992,41.819872,41.243603
10-3-10,-88.089993,41.819872,41.273006,0.000003,-0.000001,-0.000002,-0.000002,-88.089993,41.819872,41.273004
10-3-6-1,-88.089988,41.819868,40.993147,0.000002,-0.000002,-0.000001,-0.000000,-88.089988,41.819868,40.993147
10-4,-88.089993,41.819869,39.264452,0.000001,-0.000000,0.000000,-0.000000,-88.089993,41.819869,39.264451
10-5,-88.089993,41.819870,39.462296,0.000010,-0.000001,0.000001,-0.000010,-88.089993,41.819870,39.462286
10-6,-88.089991,41.819868,39.801825,0.000007,-0.000002,0.000004,-0.000005,-88.089991,41.819868,39.801821
10-6-1,-88.089992,41.819866,39.876604,0.000003,0.000000,-0.000001,0.000002,-88.089992,41.819866,39.876606
10-6-2,-88.089989,41.819864,40.178391,0.000002,-0.000000,0.000001,0.000002,-88.089989,41.819864,40.178393
10-7,-88.089989,41.819868,40.438598,0.000002,-0.000001,0.000001,0.000001,-88.089989,41.819868,40.438599
10-8,-88.089988,41.819867,40.507313,0.000002,-0.000001,0.000000,0.000001,-88.089988,41.819867,40.507314
10-8-1,-88.089985,41.819864,40.981551,0.000002,-0.000001,0.000001,0.000000,-88.089985,41.819864,40.981551
10-8-2,-88.089986,41.819863,40.995333,0.000002,-0.000001,0.000002,-0.000001,-88.089986,41.819863,40.995333
10-9,-88.089985,41.819869,40.965483,0.000000,-0.000000,0.000000,-0.000000,-88.089985,41.819869,40.965483
10-9-1,-88.089984,41.819871,41.325731,0.000001,-0.000001,-0.000000,-0.000001,-88.089984,41.819871,41.325730
10-10,-88.089983,41.819868,41.280198,0.000001,-0.000001,-0.000001,-0.000000,-88.089983,41.819868,41.280198
10-11,-88.089980,41.819867,41.457351,0.000002,-0.000002,-0.000000,0.000000,-88.089980,41.819867,41.457352
10-10-1,-88.089982,41.819868,41.756710,0.000004,-0.000002,-0.000001,-0.000004,-88.089982,41.819868,41.756707
10-10-2,-88.089983,41.819868,41.966599,0.000003,-0.000001,-0.000001,-0.000003,-88.089983,41.819868,41.966596
10-10-3,-88.089983,41.819869,41.980789,0.000002,0.000000,-0.000001,-0.000000,-88.089983,41.819869,41.980789
