# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.090031,41.819897,101.633634
point 24,,,,,,,,-88.090041,41.819984,102.189701
point 25,,,,,,,,-88.090127,41.819926,101.990326
point 26,,,,,,,,-88.090119,41.819822,101.356117
point 27,,,,,,,,-88.090018,41.819781,100.948131
point 28,,,,,,,,-88.089888,41.819840,101.012068
point 29,,,,,,,,-88.089874,41.819925,101.500389
point 30,,,,,,,,-88.089947,41.819975,101.931970
point 31,,,,,,,,-88.090018,41.819904,101.636922
point 32,,,,,,,,-88.090192,41.819899,102.005447
point 33,,,,,,,,-88.090117,41.819792,101.285154
point 34,,,,,,,,-88.089919,41.819767,100.720034
point 35,,,,,,,,-88.089832,41.819908,101.400841
point 36,,,,,,,,-88.089977,41.820018,102.347097
point 37,-88.090008,41.819881,101.600089,0.000162,0.000009,-0.000013,0.000162,-88.090008,41.819881,101.600250
point 38,-88.090011,41.819878,101.585496,0.000167,0.000005,-0.000011,0.000167,-88.090011,41.819878,101.585662
point 39,-88.090016,41.819881,101.552527,0.000166,0.000001,-0.000001,0.000166,-88.090016,41.819881,101.552693
point 40,-88.090011,41.819885,101.646497,0.000160,0.000012,-0.000006,0.000159,-88.090011,41.819885,101.646656
