# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.090028,41.819875,33.923080
point 24,,,,,,,,-88.090041,41.819957,33.647379
point 25,,,,,,,,-88.089928,41.819941,33.655599
point 26,,,,,,,,-88.089871,41.819870,33.834388
point 27,,,,,,,,-88.089925,41.819793,34.094864
point 28,,,,,,,,-88.090031,41.819779,34.196671
point 29,,,,,,,,-88.090124,41.819831,34.041593
point 30,,,,,,,,-88.090129,41.819914,33.805883
point 31,,,,,,,,-88.090025,41.819887,33.858303
point 32,,,,,,,,-88.090011,41.820018,33.628251
point 33,,,,,,,,-88.089827,41.819916,33.796606
point 34,,,,,,,,-88.089909,41.819750,34.305954
point 35,,,,,,,,-88.090106,41.819766,34.349312
point 36,,,,,,,,-88.090189,41.819894,33.901388
3,,,,,,,,-88.090006,41.819872,35.896169
3-1,,,,,,,,-88.090009,41.819872,35.886834
3-1-1,,,,,,,,-88.090022,41.819869,35.947635
3-1-2,,,,,,,,-88.090025,41.819870,35.914096
3-1-3,,,,,,,,-88.090028,41.819869,35.788976
3-1-4,,,,,,,,-88.090031,41.819870,35.642162
3-1-5,,,,,,,,-88.090032,41.819871,35.535033
3-1-6,,,,,,,,-88.090033,41.819871,35.507219
3-1-6-1,,,,,,,,-88.090033,41.819871,35.525213
3-2,,,,,,,,-88.090010,41.819870,36.078907
3-2-1,,,,,,,,-88.090017,41.819868,36.322781
3-2-2,,,,,,,,-88.090019,41.819866,36.281245
3-2-2-1,,,,,,,,-88.090024,41.819863,36.086450
3-2-2-2,,,,,,,,-88.090028,41.819860,35.944195
3-2-3,,,,,,,,-88.090023,41.819865,36.477018
3-2-4,,,,,,,,-88.090024,41.819865,36.435316
3-2-5,,,,,,,,-88.090028,41.819864,36.620103
3-3,,,,,,,,-88.090008,41.819867,36.367757
3-4,,,,,,,,-88.090010,41.819867,36.593860
3-5,,,,,,,,-88.090010,41.819865,36.994082
3-5-1,,,,,,,,-88.090010,41.819865,37.189611
3-5-2,,,,,,,,-88.090008,41.819865,37.209625
3-5-3,,,,,,,,-88.090009,41.819865,37.317511
3-5-4,,,,,,,,-88.090009,41.819863,37.329240
3-5-6,,,,,,,,-88.090008,41.819864,37.624354
3-5-5,,,,,,,,-88.090010,41.819863,37.588268
3-5-7,,,,,,,,-88.090007,41.819860,37.978735
3-5-7-1,,,,,,,,-88.090008,41.819860,38.037697
3-5-8,,,,,,,,-88.090007,41.819860,38.200323
3-5-8-1,,,,,,,,-88.090012,41.819860,38.438844
3-5-8-2,,,,,,,,-88.090012,41.819860,38.497154
3-5-8-3,,,,,,,,-88.090013,41.819860,38.479654
3-5-8-4,,,,,,,,-88.090013,41.819860,38.508176
3-5-9,,,,,,,,-88.090006,41.819859,38.278838
3-5-10,,,,,,,,-88.090006,41.819857,38.861313
3-5-10-1,,,,,,,,-88.090004,41.819857,39.008974
3-5-10-2,,,,,,,,-88.090004,41.819858,39.111751
3-5-10-3,,,,,,,,-88.090003,41.819858,39.122943
3-5-11,,,,,,,,-88.090006,41.819856,38.976883
3-6,,,,,,,,-88.090011,41.819861,37.248692
3-7,,,,,,,,-88.090013,41.819859,37.482877
3-8,,,,,,,,-88.090017,41.819857,37.782720
3-9,,,,,,,,-88.090016,41.819856,37.762717
