node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
2.1,both,0.152457157,2.5,end,13.2,179,10.6,48.8,7.9,181,6.8,28.6
2.5,both,0.162520227,2.6,end,9.69,12.4,7.52,51.6,2.86,7.17,2.61,7.99
2.6,both,0.852211169,2.7,end,7.92,25.3,3.52,12.5,5.89,NA,6.5,8.15
2,both,0.992496784,NA,2.1,NA,NA,20,92.4,NA,NA,18.4,83
point 23,both,0.65255532,,,,,,,,,,
point 24,both,0.396700925,,,,,,,,,,
point 25,both,0.762092379,,,,,,,,,,
point 26,both,0.434755593,,,,,,,,,,
point 27,both,0.375443441,,,,,,,,,,
point 28,both,0.993752269,,,,,,,,,,
point 29,both,0.136528347,,,,,,,,,,
point 30,both,0.446382159,,,,,,,,,,
point 31,both,0.901731185,,,,,,,,,,
point 32,both,0.628955014,,,,,,,,,,
point 33,both,0.886625586,,,,,,,,,,
point 34,both,0.714046503,,,,,,,,,,
point 35,both,0.480354566,,,,,,,,,,
point 36,both,0.476216051,,,,,,,,,,
2.4,180222,0.049446169,2.5,2.4.1,11.4,19,2.78,13.5,,,,
2.7,180222,0.056044863,end,end,6.02,60.9,3.67,27.7,,,,
2.5.1,180222,0.092489807,2.5.2,end,1.99,10,1.97,2.32,,,,
2.2.2,180222,0.122431921,end,end,NA,NA,NA,NA,,,,
2.5.3,180222,0.20163376,,,,,,,,,,
2.3.1.1,180222,0.225959446,,,,,,,,,,
2.4.1,180222,0.272156371,,,,,,,,,,
2.3,180222,0.306200541,2.5,2.3.1,11.3,21.7,2.06,7.7,,,,
2.2,180222,0.436256816,,,,,,,,,,
2.5.2,180222,0.506778442,,,,,,,,,,
2.3.1,180222,0.56043714,,,,,,,,,,
2.2.1,180222,0.847674427,,,,,,,,,,
2.3.1.2,180222,0.938928292,,,,,,,,,,
2.8,180222,0.962431016,,,,,,,,,,
NA,180222,0.865305578,,,,,,,,,,
2.1*1,180323,0.967040807,2.2,end,,,,,7.18,NA,1.84,15.3
NA,180323,0.359791677,,,,,,,,,,
