ELM BRANCH 1,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
1,NA,39.5,,,,1.1,17.2,,,
1.1,1.2,11.1,,59.6,,1.1.1,7.2,,77.6,
1.2,1.3,9.2,,40.8,,1.2.1,6,,27.8,
1.3,1.4,8.9,,90.4,,end,3.5,,182.2,
1.4,end,5.9,,311,,end,6.3,,393.6,
1.1.1,end,6.3,,443.2,,end,3.9,,233,
1.1.1.1,end,3.5,,223.8,,end,1.85,,48.2,b
1.2.1,1.2.2,5.5,,35.8,,end,2.14,,89.8,b
1.2.2,end,5.1,,316.2,,end,2.24,,28.6,b
1.5,1.6,7.7,,32.4,,end,1.36,,2.4,b
1.1.2,1.1.3,6.4,,35.2,,end,1.28,,22.4,b
1.1.6,end,4.1,,263.4,,end,3.7,,202.2,
1.8.1,1.8.2,2.28,,32.4,,end,2.24,,141.8,
1.8.3,end,NA,,NA,,end,NA,,NA,
