ELM BRANCH 3,,,,,,,,,
,,,,,,,,,
,main,,,,,branch,,,
node,to node,diameter,,length,,to node,diameter,,length
3,NA,33.9,,NA,,3.1,22.1,,NA
3.1,3.2,20,,NA,,end,7.4,,NA
3.2,end,14.5,,457.6,,3.2.2,9.3,,87.8
3.2.2,end,6.9,,375.2,,end,4.9,,224.6
3.3,3.4,13.2,,25,,end,2.04,,NA
3.1.5,3.1.6,1.84,,NA,,end,1.24,,16
3.2.2.1,3.2.2.2,5.1,,89.8,,end,1.84,,14.6
3.2.2.2,end,2.49,,105.2,,end,1.65,,92.2
3.5.10,end,6.5,,244.6,,3.5.10.1,1.97,,21.2
3.5.10.1,3.5.10.2,1.52,,24.4,,end,1.39,,27.4
3.5.10.2,end,1.62,,52,,end,1.04,,39.8
3.5.2,3.5.3,NA,,NA,,end,NA,,NA
3.5.3,3.5.4,9.2,,30.8,,end,3.5,,23.4
3.5.8.3,3.5.8.4,3.2,,NA,,end,2.9,,28.8
3.1.*5,end,NA,,NA,,end,NA,,NA
3.2.*5,end,8.4,,412.6,,end,0.68,,24
