"","node","label"
"1","3","both"
"2","3.1","both"
"3","3.11","both"
"4","3.13","both"
"5","3.14","both"
"6","3.15","both"
"7","3.2","both"
"8","3.3","both"
"9","3.4","both"
"10","3.5","both"
"11","3.5.1","both"
"12","3.5.2","both"
"13","3.5.4","both"
"14","3.5.5","both"
"15","3.5.7","both"
"16","3.5.8","both"
"17","3.5.8.1","both"
"18","3.6","both"
"19","3.7","both"
"20","3.7.1","both"
"21","3.8","both"
"22","point 23","both"
"23","point 24","both"
"24","point 25","both"
"25","point 26","both"
"26","point 27","both"
"27","point 28","both"
"28","point 29","both"
"29","point 30","both"
"30","point 31","both"
"31","point 32","both"
"32","point 33","both"
"33","point 34","both"
"34","point 35","both"
"35","point 36","both"
"36","none","171221"
"37","3.9","180109"
"38","3.10","180109"
"39","3.12","180109"
"40","3.5.1.1","180109"
"41","3.5.1.2","180109"
"42","3.5.1.3","180109"
"43","3.5.3","180109"
"44","3.5.6","180109"
"45","3.5.7.1","180109"
"46","3.5.8.2","180109"
"47","3.5.8.2.1","180109"
"48","3.5.8.3","180109"
"49","3.5.10","180109"
"50","3.5.9","180109"
"51","3.5.11","180109"
"52","3.5.12","180109"
"53","3.6.1","180109"
"54","3.7.2","180109"
"55","3.7.3","180109"
"56","3.7.4","180109"
"57","3.7.5","180109"
"58","3.7.3.1","180109"
"59","3.11.1","180109"
"60","3.14.1","180109"
"61","3.14.2","180109"
"62","3.14.3","180109"
"63","3.15.1","180109"
"64",NA,"180109"
