# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049428,41.814066,138.703439
point 24,,,,,,,,-88.049348,41.813909,138.840280
point 25,,,,,,,,-88.049461,41.813929,138.965717
point 26,,,,,,,,-88.049660,41.814115,138.754888
point 27,,,,,,,,-88.049614,41.814002,138.912930
point 28,,,,,,,,-88.049551,41.814201,138.761451
point 29,,,,,,,,-88.049287,41.814213,138.351275
point 30,,,,,,,,-88.049240,41.814100,138.316205
point 31,,,,,,,,-88.049444,41.814064,138.722480
point 32,,,,,,,,-88.049589,41.813934,139.070214
point 33,,,,,,,,-88.049696,41.814166,138.847583
point 34,,,,,,,,-88.049398,41.814280,138.664689
point 35,,,,,,,,-88.049197,41.814069,138.400124
point 36,,,,,,,,-88.049307,41.813906,138.896571
3,,,,,,,,-88.049431,41.814083,141.668758
3-1,,,,,,,,-88.049431,41.814095,142.111029
3-2,,,,,,,,-88.049432,41.814104,142.042295
3-3,,,,,,,,-88.049433,41.814109,141.918364
3-4,,,,,,,,-88.049437,41.814118,141.655893
3-5,,,,,,,,-88.049440,41.814126,141.430482
3-6,,,,,,,,-88.049438,41.814131,141.049895
3-7,,,,,,,,-88.049439,41.814141,141.067312
3-8,,,,,,,,-88.049443,41.814147,140.920329
3-9,,,,,,,,-88.049448,41.814155,140.884592
3-10,,,,,,,,-88.049447,41.814155,140.953092
3-11,,,,,,,,-88.049448,41.814157,140.986411
3-12,,,,,,,,-88.049446,41.814159,141.224004
3-13,,,,,,,,-88.049448,41.814160,141.303390
3-14,,,,,,,,-88.049448,41.814162,141.378965
3-15,,,,,,,,-88.049448,41.814164,141.379724
3-5-1,,,,,,,,-88.049441,41.814126,141.616991
3-5-1-1,,,,,,,,-88.049441,41.814126,141.742271
3-5-1-2,,,,,,,,-88.049440,41.814126,141.825748
3-5-1-3,,,,,,,,-88.049442,41.814128,142.064762
3-5-2,,,,,,,,-88.049443,41.814128,141.537575
3-5-3,,,,,,,,-88.049445,41.814126,141.612868
3-5-4,,,,,,,,-88.049448,41.814128,141.606884
3-5-5,,,,,,,,-88.049452,41.814129,141.379321
3-5-6,,,,,,,,-88.049455,41.814131,141.180839
3-5-7,,,,,,,,-88.049456,41.814133,141.190766
3-5-7-1,,,,,,,,-88.049460,41.814133,141.708231
3-5-8,,,,,,,,-88.049464,41.814138,140.972255
3-5-8-1,,,,,,,,-88.049466,41.814141,141.179740
3-5-8-2,,,,,,,,-88.049471,41.814147,141.190914
3-5-8-2-1,,,,,,,,-88.049471,41.814146,141.404935
3-5-8-3,,,,,,,,-88.049474,41.814148,141.316085
3-5-10,,,,,,,,-88.049467,41.814152,140.338588
3-5-9,,,,,,,,-88.049469,41.814148,140.476637
3-5-11,,,,,,,,-88.049471,41.814155,140.110878
3-5-12,,,,,,,,-88.049473,41.814158,140.231857
3-6-1,,,,,,,,-88.049434,41.814137,141.653979
3-7-1,,,,,,,,-88.049444,41.814140,141.584049
3-7-2,,,,,,,,-88.049448,41.814143,141.905749
3-7-3,,,,,,,,-88.049450,41.814147,141.976880
3-7-4,,,,,,,,-88.049452,41.814146,141.931728
3-7-5,,,,,,,,-88.049453,41.814145,142.199594
3-7-3-1,,,,,,,,-88.049450,41.814150,142.011337
3-11-1,,,,,,,,-88.049459,41.814167,140.876395
3-14-1,,,,,,,,-88.049450,41.814163,141.432097
3-14-2,,,,,,,,-88.049450,41.814162,141.951152
3-14-3,,,,,,,,-88.049452,41.814164,142.179828
3-15-1,,,,,,,,-88.049453,41.814168,141.676013
