# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049456,41.814041,193.590321
point 24,,,,,,,,-88.049366,41.813974,193.880958
point 25,,,,,,,,-88.049525,41.813977,193.841356
point 26,,,,,,,,-88.049612,41.814063,193.659514
point 27,,,,,,,,-88.049555,41.814148,193.654949
point 28,,,,,,,,-88.049396,41.814209,193.615876
point 29,,,,,,,,-88.049306,41.814153,193.450603
point 30,,,,,,,,-88.049281,41.814068,193.532013
point 31,,,,,,,,-88.049469,41.814049,193.625011
point 32,,,,,,,,-88.049430,41.813924,194.174896
point 33,,,,,,,,-88.049646,41.814007,193.923604
point 34,,,,,,,,-88.049514,41.814218,193.698478
point 35,,,,,,,,-88.049359,41.814244,193.637621
point 36,,,,,,,,-88.049238,41.814043,193.766402
1,,,,,,,,-88.049434,41.814078,195.860314
1-2,,,,,,,,-88.049425,41.814089,196.609311
1-3,,,,,,,,-88.049422,41.814108,196.691819
1-7,,,,,,,,-88.049409,41.814124,197.200579
1-9,,,,,,,,-88.049402,41.814125,197.542275
1-8-3,,,,,,,,-88.049416,41.814139,197.759065
1-1,,,,,,,,-88.049432,41.814082,196.198046
1-4,,,,,,,,-88.049422,41.814111,196.662556
1-5,,,,,,,,-88.049418,41.814115,196.880997
1-6,,,,,,,,-88.049414,41.814120,197.110252
1-10,,,,,,,,-88.049399,41.814137,197.559298
1-11,,,,,,,,-88.049399,41.814146,197.410795
1-12,,,,,,,,-88.049398,41.814148,197.772586
1-13,,,,,,,,-88.049397,41.814152,197.863446
1-5-1,,,,,,,,-88.049421,41.814115,197.653886
1-8-1-1,,,,,,,,-88.049411,41.814127,198.157471
1-8-1-2,,,,,,,,-88.049410,41.814130,198.367685
1-8-4,,,,,,,,-88.049420,41.814143,197.480506
1-9-1,,,,,,,,-88.049401,41.814126,197.774094
1-9-2,,,,,,,,-88.049400,41.814127,197.829784
1-9-3,,,,,,,,-88.049391,41.814129,197.989434
1-9-4,,,,,,,,-88.049386,41.814129,197.999187
1-9-5,,,,,,,,-88.049383,41.814135,198.343604
1-8-2-1,,,,,,,,-88.049413,41.814135,197.935800
1-8-2-2,,,,,,,,-88.049410,41.814138,198.219229
1-8-1-2.5,,,,,,,,-88.049407,41.814134,198.406968
1-8-2-4,,,,,,,,-88.049407,41.814142,198.197248
1-7-1,,,,,,,,-88.049404,41.814133,197.011644
1-7-5,,,,,,,,-88.049401,41.814145,196.564718
1-7-4,,,,,,,,-88.049400,41.814140,196.782831
1-9.1,,,,,,,,-88.049400,41.814132,197.552700
1-9.5,,,,,,,,-88.049400,41.814134,197.528555
1-5-.5,,,,,,,,-88.049421,41.814116,197.529117
1-7-2,,,,,,,,-88.049400,41.814136,196.780293
1-7-3,,,,,,,,-88.049399,41.814139,196.798736
1-8-2,,,,,,,,-88.049412,41.814135,197.785642
1-8-2-3,,,,,,,,-88.049410,41.814138,198.170758
1-8,,,,,,,,-88.049409,41.814123,197.380610
1-8-1,,,,,,,,-88.049411,41.814125,197.780841
1-8-1-3,,,,,,,,-88.049407,41.814138,198.441263
