nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
8.2.4.3.*5,171221,0.239016223,8.2.4.3.2,end,7.89,33,4.3,4.71,,,,
8.3.13,171221,0.025207524,8.3.14,end,4.91,42.4,2.56,2.58,,,,
8.3.14,171221,0.279975909,end,end,3.71,21.5,4.39,3.59,,,,
8.3.2*5,171221,0.002487232,8.3.4,end,15.2,78,3.09,1.87,,,,
8.4.*0,171221,0.176874897,8.4.*2,end,19.6,86.2,2.12,3.46,,,,
8.4.*3,171221,0.030967793,8.4.*55,end,16.2,65.8,6.62,8.27,,,,
8.4.1*5,171221,0.15904858,8.4.3,end,13.9,42.4,9.52,5.9,,,,
8.5.*55,171221,0.115393202,8.5.1,end,17.2,42.6,7.65,7.51,,,,
8.5.2.*5,171221,0.3337455,8.5.2.1,end,9.36,35.8,5.97,9.67,,,,
8.6*55,171221,0.233220038,8.7,end,13.6,49.1,8.67,13.5,,,,
8.8*5,171221,0.050980564,8.1,end,8.21,35.4,7.69,6.28,,,,
8.2.4.3.5,171221,0.342951748,,,,,,,,,,
8.4.2.2,171221,0.3705815,,,,,,,,,,
8.2.11.3,171221,0.384053463,,,,,,,,,,
8.3.12,171221,0.386432917,,,,,,,,,,
8.12,171221,0.417111486,,,,,,,,,,
8.4.*1.1,171221,0.431868452,,,,,,,,,,
8.4.3*5,171221,0.44606744,,,,,,,,,,
8.4.7,171221,0.468604354,,,,,,,,,,
8.4.2.1,171221,0.513101574,,,,,,,,,,
8.2.11.2,171221,0.566968296,,,,,,,,,,
8.2.4.3*5,171221,0.584694847,,,,,,,,,,
8.11,171221,0.600123314,,,,,,,,,,
8.2.*5,171221,0.618712242,,,,,,,,,,
8.5.1*5,171221,0.623782715,,,,,,,,,,
8.4.*2,171221,0.647777426,,,,,,,,,,
8.4.10,171221,0.658288803,,,,,,,,,,
8.3.10.2,171221,0.688301522,,,,,,,,,,
8.4.8,171221,0.697786728,,,,,,,,,,
8.7*5,171221,0.71871925,,,,,,,,,,
8.3.10.1,171221,0.818160692,,,,,,,,,,
8.2.4.3.4,171221,0.97496454,,,,,,,,,,
8.2.4.3*55,171221,0.989203728,,,,,,,,,,
8.1.5.3.1,180109,0.268974553,end,end,,,,,3.41,18.4,2.1,7.37
8.1.5.5.1,180109,0.094533921,8.1.5.5.2,end,,,,,3.8,55.6,1.27,1.91
8.1.5.6.1,180109,0.156388112,end,end,,,,,3.36,19.5,1.92,6.62
8.2.8,180109,0.332655688,8.2.9,end,,,,,16.8,56.1,7.89,4.18
8.3.9,180109,0.120847849,8.3.10,end,,,,,11.8,53.9,2.32,27.9
8.1.2.5,180109,0.459122309,8.1.2.6,end,,,,,4.96,44.3,2.01,20.2
8.1.2.6,180109,0.504292853,,,,,,,,,,
8.8,180109,0.515075391,8.1,end,,,,,18.6,95.5,4.22,4.13
8.1.8,180109,0.529235186,,,,,,,,,,
8.1.9,180109,0.535407988,,,,,,,,,,
8.1.5.5.2,180109,0.689587996,,,,,,,,,,
8.4.4.1,180109,0.724733476,end,end,,,,,7.28,47.3,3.77,15.6
8.2.10.1,180109,0.729742418,,,,,,,,,,
8.2.4.3.2.1,180109,0.803136638,,,,,,,,,,
8.1.7,180109,0.823427384,,,,,,,,,,
8.2.6,180109,0.855078117,,,,,,,,,,
8.4.6,180109,0.914633245,end,end,,,,,10,203,1.9,10.4
8.3.11,180109,0.966231402,,,,,,,,,,
8,B,0.005236244,NA,8.1,NA,NA,41.6,79.8,NA,NA,42.7,77.7
8..10,B,0.084781747,end,end,8.65,132,7.6,30.6,11.4,131,5.58,21.5
8.1,B,0.400626171,8.2,8.1.1,39.7,85.3,22.5,59.9,41.6,93.6,27.4,64.3
8.3,B,0.481450626,8.4,8.3.1,31.3,162,16.3,80.6,36.3,165,17.9,80.6
8.4,B,0.297175761,8.5,8.4.1,27.8,78,16.5,217,31.9,79.3,23.7,215
8.5,B,0.385118532,8.6,8.5.1,23.9,115,19.3,230,25.1,108,21.7,225
8.6,B,0.037856699,8.7,8.6.1,17.5,201,17.2,120,18.4,200,17.9,123
8.1.2,B,0.162445642,8.1.3,8.1.2.1,17,27.6,9.49,92.6,17.4,28.4,9.07,98.6
8.1.2.2,B,0.440192651,8.1.2.3,end,6.85,36.5,5.73,7.25,6.77,42.5,3.12,11.8
8.1.2.4,B,0.262439043,end,end,6.77,99,5.44,1.97,6.5,128,4.03,15.4
8.1.3,B,0.551369386,8.1.4,8.1.3.1,14.1,105,9.46,54.6,22.3,103,15.9,57.2
8.1.3.1,B,0.314114625,end,end,4.8,77.8,5.99,2.29,7.38,75.7,1.94,7.16
8.1.5,B,0.314914699,8.1.6,8.1.5.2,9.54,114,11,77,12,112,10,77.8
8.1.5.3,B,0.144169815,8.1.5.4,end,5.44,24.8,6.19,17.8,6.37,26.9,3.8,36.6
8.1.5.4,B,0.41826228,8.1.5.5,end,5.7,16.2,4.07,15.6,5.11,16.2,1.65,14.1
8.1.5.5,B,0.489838401,8.1.5.6,end,7.49,39.7,5.91,40.2,6.32,37.5,4.95,100
8.1.5.6,B,0.619858124,end,end,5.69,35.9,5.24,49.9,4.79,67.4,3.95,43
8.1.6,B,0.260322386,end,end,6.32,33,6.06,16,13.4,87,4.49,51.6
8.2.*55,B,0.153906046,8.2.2,end,23.5,67.5,6.54,4.53,25.4,69.6,3.36,2.44
8.2.1,B,0.597511586,8.2.2,end,21.7,59.5,3.75,27.6,22.9,58,9.15,6.71
8.2.10,B,0.463921284,8.2.11,end,13.4,73.9,6.37,86.1,12.7,71.5,7.61,92.8
8.2.2,B,0.3467162,8.2.3,end,19.5,119,6.17,4.64,22.2,121,5.06,5.58
8.2.3,B,0.315574669,8.2.4,end,22.4,81.5,6.38,34.8,19.6,90.7,6.64,34
8.2.4,B,0.245684445,8.2.5,8.2.4.2,14.2,41,14.6,70.2,19.8,36.1,20,64.1
8.2.4.1,B,0.013899039,8.2.4.3,end,13.4,104,5.49,24.7,19.8,117,6.69,9.47
