MEMORIAL OAK BRANCH 8,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
8,NA,NA,,NA,,8.1,NA,,NA,
8.1,8.2,38.7,,88,,8.1.1,22.7,,NA,
8.3,8.4,31.1,,165.6,,8.3.1,15.8,,NA,
8.4,8.5,27.6,,78.8,,8.4.1,20,,NA,
8.5,8.6,22.7,,NA,,8.5.1,18.4,,NA,
8.6,8.7,15.8,,203.6,,8.6.1,16.2,,120,
8.8,8.1,NA,,NA,,end,NA,,NA,
8.1.2,8.1.3,15.8,,94.6,,8.1.2.1,9.3,,NA,
8.1.2.2,8.1.2.3,6.2,,53.8,,end,2.41,,6.2,b
8.1.2.4,end,5,,105.8,b,end,0.89,,0.6,b
8.1.2.5,8.1.2.6,3.8,,42,,end,1.45,,48.8,
8.1.3,8.1.4,15.3,,105.6,,8.1.3.1,6.5,,NA,
8.1.3.1,end,NA,,NA,,end,NA,,NA,
8.1.5,8.1.6,7,,NA,,8.1.5.2,7,,NA,
8.1.5.3,8.1.5.4,NA,,NA,,end,NA,,NA,
8.1.5.3.1,end,NA,,NA,,end,NA,,NA,
8.1.5.4,8.1.5.5,NA,,NA,,end,NA,,NA,
8.1.5.5,8.1.5.6,NA,,NA,,end,NA,,NA,
8.1.5.5.1,8.1.5.5.2,NA,,NA,,end,NA,,NA,
8.1.5.6,end,NA,,NA,,end,NA,,NA,
8.1.5.6.1,end,NA,,NA,,end,NA,,NA,
8.1.6,end,NA,,NA,,end,NA,,NA,
8.10,end,NA,,NA,,end,NA,,NA,
8.2.*55,8.2.2,22.5,,67.5,,end,1.97,,10.4,
8.2.1,8.2.2,22.5,,57.4,,end,2.03,,96.2,
8.2.10,8.2.11,10.8,,72,,end,6.3,,87.8,
8.2.2,8.2.3,20.4,,129.8,,end,0.64,,17.8,
8.2.3,8.2.4,18.3,,78.2,,end,7.4,,12.4,b
8.2.4,8.2.5,14.5,,41.6,,8.2.4.2,13.8,,52.8,
8.2.4.1,8.2.4.3,13.5,,102.4,,end,4.24,,11.4,b
8.2.4.2,8.2.4.3,12.9,,60.8,,end,3.01,,53.2,
8.2.4.3,end,10.2,,215,,8.2.4.3.1,8.5,,57.6,
8.2.4.3.*5,8.2.4.3.2,10.3,,34,,end,1.99,,32.8,
8.2.4.3.1,8.2.4.3.3,8.8,,67.4,,end,0.93,,19.6,
8.2.4.3.2,8.2.4.3.3,7.4,,61,,end,2.79,,61,
8.2.4.3.3,8.2.4.3.4,6.6,,27.4,,end,3.3,,7.2,
8.2.4.4,end,5.15,,2.6,,end,1.66,,72.2,
8.2.5,8.2.7,14.6,,94.6,,8.2.5.1,6.5,,54,
8.2.8,8.2.9,12.6,,61.6,,end,1.54,,48.4,
8.2.9,8.2.10,13,,61.8,,end,1.63,,30.2,
8.3.*5,8.3.1,15,,31.8,,end,5.26,,1.2,b
8.3.1*0,8.3.2,16.7,,72.4,,end,1.59,,45,
8.3.1*5,8.3.2,13.7,,18.8,,end,6.11,,48.4,
8.3.10,8.3.12,6.3,,12.8,,8.3.10.1,4.7,,75.6,
8.3.13,8.3.14,5.5,,45.4,,end,2.31,,,
8.3.14,end,3.6,,24,,end,4,,4.8,
8.3.2,8.3.3,13.7,,44.2,,end,4.89,,23.4,b
8.3.2*5,8.3.4,12.9,,72.4,,end,7.23,,5.6,
8.3.3,8.3.4,12,,62.6,,end,5.5,,20.6,b
8.3.4,8.3.5,11.4,,22.2,,end,8.9,,11.4,
8.3.5,8.3.6,9.9,,27,,end,5.1,,25,
8.3.6,8.3.8,9.5,,9.8,,end,3.19,,20,
8.3.7,8.3.10,9.4,,87.6,,end,1.66,,1.4,
8.3.8,8.3.10,9.4,,90.8,,end,2.32,,1.8,b
8.3.9,8.3.10,7.8,,44.6,,end,6.4,,1.6,
8.4.*0,8.4.*2,NA,,NA,,end,NA,NA,,
8.4.*1,8.4.1,17.1,,87.4,,end,0.97,,2.2,b
8.4.*3,8.4.*55,17,,66.8,,end,1.89,,2.4,b
8.4.*5,8.4.1,16.7,,67,,end,3.01,,14.8,b
8.4.*55,8.4.2,16.3,,48.4,,end,1.39,,,
8.4.1*5,8.4.3,13.8,,42,,end,1.76,,9.4,
8.4.3,8.4.4,15.1,,64.8,,end,5.84,,6.6,
8.4.4,8.4.5,9.8,,39,,8.4.4.2,7.9,,61.4,
8.4.4.1,end,4.9,,56.2,,end,1.6,,34.8,
8.4.6,end,9.9,,197,,end,0.93,,13.4,b
8.5.*55,8.5.1,16.3,,41.2,,end,4.79,,3.6,b
8.5.1.1,end,4.3,,55.4,,end,1.4,,13.2,
8.5.2,8.5.3,12.2,,119.4,,8.5.2.1,10.3,,85.6,
8.5.2.*5,8.5.2.1,9,,32.2,,end,1.89,,40.2,
8.5.2.1,8.5.2.2,9,,169.4,,end,3.4,,44.6,
8.6.1,8.6.2,13.7,,191.6,,8.6.1.1,9,,107.8,
8.6.1.1,end,9.4,,7,,end,2.61,,14.8,
8.6.2,8.6.3,10.9,,29.4,,end,8.7,,141.1,b
8.6.3,8.6.4,9,,108,,end,8,,99.6,
8.6*5,8.6.2,11.54,,83.8,,end,5.59,,41.4,
8.6*55,8.7,13.7,,55.4,,end,1.51,,12.4,
8.7.2,end,NA,,NA,,end,NA,,NA,
8.8*5,8.1,9.2,,39.4,,end,4,,9.4,
