# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.083781,41.821300,247.439920
point 24,,,,,,,,-88.083741,41.821164,246.973954
point 25,,,,,,,,-88.083856,41.821169,245.992744
point 26,,,,,,,,-88.083894,41.821254,246.227088
point 27,,,,,,,,-88.083886,41.821340,246.831526
point 28,,,,,,,,-88.083760,41.821373,248.100847
point 29,,,,,,,,-88.083658,41.821333,248.793626
point 30,,,,,,,,-88.083633,41.821214,248.239960
point 31,,,,,,,,-88.083796,41.821303,247.311663
point 32,,,,,,,,-88.083814,41.821097,246.104547
point 33,,,,,,,,-88.083980,41.821246,245.553143
point 34,,,,,,,,-88.083918,41.821396,247.251814
point 35,,,,,,,,-88.083657,41.821392,249.319676
point 36,,,,,,,,-88.083559,41.821239,249.160039
6,,,,,,,,-88.083788,41.821273,257.762494
6-1,,,,,,,,-88.083785,41.821277,258.453808
6-2,,,,,,,,-88.083780,41.821281,259.213561
6-3,,,,,,,,-88.083776,41.821285,259.643748
6-4,,,,,,,,-88.083776,41.821285,259.781230
6-2-1,,,,,,,,-88.083777,41.821282,260.356500
6-2-1-1,,,,,,,,-88.083778,41.821287,260.697685
6-2-1-2,,,,,,,,-88.083778,41.821288,260.779712
6-2-2,,,,,,,,-88.083777,41.821281,260.984279
6-2-2-1,,,,,,,,-88.083777,41.821281,261.078804
6-2-2-2,,,,,,,,-88.083775,41.821280,261.251605
6-2-2-2-1,,,,,,,,-88.083776,41.821279,261.414150
6-2-2-2-2,,,,,,,,-88.083776,41.821279,261.357964
6-2-3,,,,,,,,-88.083779,41.821283,261.292556
6-2-4,,,,,,,,-88.083779,41.821285,261.770538
6-2-5,,,,,,,,-88.083779,41.821284,261.845479
6-2-6,,,,,,,,-88.083780,41.821285,261.992494
6-2-7,,,,,,,,-88.083779,41.821285,261.990315
6-2-8,,,,,,,,-88.083781,41.821287,262.399972
6-2-9,,,,,,,,-88.083781,41.821287,262.454781
6-2-10,,,,,,,,-88.083782,41.821290,262.788181
6-3-1,,,,,,,,-88.083771,41.821290,259.528361
6-3-1-1,,,,,,,,-88.083769,41.821291,259.408393
6-4-1,,,,,,,,-88.083775,41.821289,260.199053
6-4-2,,,,,,,,-88.083774,41.821289,260.219493
6-4-3,,,,,,,,-88.083774,41.821290,260.181707
6-4-4,,,,,,,,-88.083774,41.821291,260.268566
6-4-5,,,,,,,,-88.083773,41.821291,260.361516
6-4-6,,,,,,,,-88.083774,41.821291,260.414590
6-4-7,,,,,,,,-88.083771,41.821295,260.666880
6-4-8,,,,,,,,-88.083770,41.821297,260.779043
6-5,,,,,,,,-88.083772,41.821285,260.181937
6-6,,,,,,,,-88.083768,41.821287,260.937539
6-7,,,,,,,,-88.083764,41.821289,261.361374
6-9,,,,,,,,-88.083764,41.821290,261.439102
6-8,,,,,,,,-88.083764,41.821289,261.429917
6-8-1,,,,,,,,-88.083759,41.821289,261.592769
6-11,,,,,,,,-88.083761,41.821291,261.872456
6-10,,,,,,,,-88.083762,41.821291,261.883857
6-10-1,,,,,,,,-88.083762,41.821292,262.050149
6-10-2,,,,,,,,-88.083763,41.821296,262.449880
6-10-3,,,,,,,,-88.083763,41.821297,262.632587
6-10-4,,,,,,,,-88.083763,41.821297,262.814122
6-10-5,,,,,,,,-88.083763,41.821297,262.832350
6-4-.1,,,,,,,,-88.083776,41.821288,259.975519
