# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.083844,41.821275,193.281744
point 24,,,,,,,,-88.083749,41.821175,193.021103
point 25,,,,,,,,-88.083685,41.821291,193.197422
point 26,,,,,,,,-88.083722,41.821374,193.415904
point 27,,,,,,,,-88.083876,41.821400,193.608674
point 28,,,,,,,,-88.083970,41.821350,193.728453
point 29,,,,,,,,-88.083948,41.821258,193.423898
point 30,,,,,,,,-88.083893,41.821183,193.257918
point 31,,,,,,,,-88.083861,41.821276,193.321909
point 32,,,,,,,,-88.083666,41.821161,193.001258
point 33,,,,,,,,-88.083631,41.821331,193.321422
point 34,,,,,,,,-88.083805,41.821438,193.673056
point 35,,,,,,,,-88.084005,41.821395,194.138415
point 36,,,,,,,,-88.083971,41.821194,193.465464
7,,,,,,,,-88.083816,41.821290,204.148371
7-1,,,,,,,,-88.083813,41.821287,204.516410
7-1-1,,,,,,,,-88.083813,41.821289,204.694150
7-1-1.1,,,,,,,,-88.083811,41.821288,204.718068
7-1-2,,,,,,,,-88.083811,41.821289,205.093599
7-1-2.1,,,,,,,,-88.083810,41.821289,205.182734
7-1-2.2,,,,,,,,-88.083809,41.821289,205.267716
7-1-3,,,,,,,,-88.083809,41.821289,205.294074
7-1-3.1,,,,,,,,-88.083808,41.821289,205.426636
7-1-3.2,,,,,,,,-88.083808,41.821289,205.510308
7-1-3.3,,,,,,,,-88.083807,41.821290,205.614961
7-3,,,,,,,,-88.083814,41.821284,204.931873
7-2,,,,,,,,-88.083812,41.821285,204.766873
7-4,,,,,,,,-88.083810,41.821279,205.453241
7-3.1,,,,,,,,-88.083812,41.821282,205.182204
7-3.2,,,,,,,,-88.083811,41.821281,205.324528
7-4,,,,,,,,-88.083809,41.821277,205.953476
7-4-1,,,,,,,,-88.083811,41.821277,206.045638
7-4-1-1,,,,,,,,-88.083812,41.821281,206.068370
7-4.1,,,,,,,,-88.083809,41.821277,206.070447
7-4-5,,,,,,,,-88.083804,41.821272,206.979423
7-4-4,,,,,,,,-88.083804,41.821273,206.914728
7-4-4-1,,,,,,,,-88.083804,41.821273,206.994629
7-4-3,,,,,,,,-88.083806,41.821273,206.800834
7-4-2,,,,,,,,-88.083807,41.821275,206.615204
7-4-5-1,,,,,,,,-88.083803,41.821272,207.310694
7-4.1,,,,,,,,-88.083805,41.821273,205.954833
7-5,,,,,,,,-88.083805,41.821267,206.155871
7-5.1,,,,,,,,-88.083807,41.821267,206.262203
7-6,,,,,,,,-88.083806,41.821256,206.887883
7-5.2,,,,,,,,-88.083806,41.821261,206.745461
