"node","to.node","diameter","X","length","X.1","to.node.1","diameter.1","X.2","length.1","X.3"
"1","1",1,"1",1,"1","1",1,"1",1,"1"
"2","2",2,"2",2,"2","2",2,"2",2,"2"
"3","3",3,"3",3,"3","3",3,"3",3,"3"
"4.1","4.2",NA,NA,NA,"","end",NA,NA,NA,""
"4.2",NA,19.8,NA,69.2,"","4.2.1",18,NA,NA,""
"4.2.1","4.2.2",15.7,NA,55.3,"","end",1.64,NA,59.8,""
"4.2.10","end",5.2,NA,252.4,"","4.2.10.1",5.1,NA,34,""
"4.2.10.1","end",4.5,NA,170.4,"","end",2.41,NA,106.3,"b"
"4.2.13.1","4.2.13.2",NA,NA,NA,"","end",NA,NA,NA,""
"4.2.2","4.2.4",15.4,NA,94.8,"","end",1.53,NA,25.2,"b"
"4.2.3","4.2.4",16.9,NA,20.8,"","end",0.94,NA,53.3,""
"4.2.4","4.2.5",12.8,NA,11,"","4.2.4.2",8.1,NA,70.4,""
"4.2.4.2","4.2.4.3",8.2,NA,7.5,"","end",0.69,NA,9.4,"b"
"4.2.4.3","4.2.4.4",10,NA,94.8,"","end",4.3,NA,31.8,"b"
"4.2.4.6.1","4.2.4.6.2",3.5,NA,29.8,"","end",0.89,NA,25.2,""
"4.2.4.6.2","end",3.2,NA,90,"","end",1.32,NA,62.2,""
"4.2.5","4.2.6",18.5,NA,149,"","4.2.5.1",4.1,NA,49,""
"4.2.6","4.2.7",11.3,NA,41,"","end",4.62,NA,13.2,"b"
"4.2.6.1","4.2.6.2",NA,NA,NA,"","end",NA,NA,NA,""
"4.2.6.3","4.2.6.4",NA,NA,NA,"","end",NA,NA,NA,""
"4.2.7.4","end",NA,NA,NA,"","end",NA,NA,NA,""
"4.2.8","4.2.9",9.6,NA,63.4,"","end",5.1,NA,45.9,"b"
"4.2.9","4.2.9*1",NA,NA,NA,"","end",NA,NA,NA,""
"4.2.9*1.1","4.2.9*1.1",3.13,NA,5.2,"b","end",3.34,NA,3.9,"b"
"4.2.9*1.2","end",NA,NA,NA,"","end",NA,NA,NA,""
