WALNUT2 BRANCH 7,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
7,NA,18.8,,NA,,7.1,12.2,,51.8,
7.2,7.4,11.4,,91.6,,end,1.05,,35.8,
7.3,7.4,11,,91.6,,end,2.76,,NA,b
7.4,7.5,9,,NA,,1.4.1,6.8,,52.2,
7.6,end,NA,,NA,,end,NA,,NA,
7.1.1,7.1.2,3.38,,40,,end,1.72,,18.8,
7.1.1*1,7.1.2,3.15,,32.2,,end,0.99,,NA,b
7.1.2*1,7.1.2*2,2.93,,9.8,,end,0.75,,24.2,
7.1.3,end,,,143.8,,end,,,53.6,
7.1.3.1,end,,,,,end,,,,
7.1.6,end,1.33,,35,,end,0.92,,24.8,
7.3*1,7.3*2,10.1,,8.8,,end,0.76,,2.8,b
7.4.1,7.4.2,5.8,,85.2,,end,2.92,,62.2,b
7.4.3,7.4.4,4.63,,14.8,,end,1.44,,NA,b
7.4.4,7.4.5,4.86,,10.8,,end,1.81,,13.2,b
7.4.5,end,6.07,,6.8,,end,2.54,,76.8,b
7.4.5.1,end,1.93,,46,b,end,2.04,,48.8,b
7.4*1,7.5,10.7,,NA,b,end,0.59,,11.2,
7.5*1,7.5*2,NA,,NA,b,end,NA,,NA,
