"","node","label"
"1","1","both"
"2","1.1","both"
"3","1.1.1","both"
"4","1.1.1.1","both"
"5","1.2","both"
"6","1.2.1","both"
"7","1.2.2","both"
"8","1.3","both"
"9","1.4","both"
"10","point 23","both"
"11","point 24","both"
"12","point 25","both"
"13","point 26","both"
"14","point 27","both"
"15","point 28","both"
"16","point 29","both"
"17","point 30","both"
"18","point 31","both"
"19","point 32","both"
"20","point 33","both"
"21","point 34","both"
"22","point 35","both"
"23","point 36","both"
"24","1.1.1.2","180222"
"25","1.1.1.2.1","180222"
"26","1.1.1.3","180222"
"27","1.1.2","180222"
"28","1.1.3","180222"
"29","1.1.4","180222"
"30","1.1.5","180222"
"31","1.1.6","180222"
"32","1.2.3","180222"
"33","1.6","180222"
"34","1.5","180222"
"35","1.4.1","180222"
"36","1.4.2","180222"
"37","1.7","180222"
"38","1.8","180222"
"39","1.9","180222"
"40","1.8.1","180222"
"41","1.8.2","180222"
"42","1.8.2.1","180222"
"43","1.8.3","180222"
"44",NA,"180222"
"45","none","180323"
