"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"1","1","both",1.48118888495018,1.511097189209,0.291840303697283,-76.9871387782444
"2","1-1","both",1.78024738495018,1.84919025711832,0.496317504693655,-74.8710333709619
"3","1-1-1","both",2.23528538495018,2.46539149512063,1.03010865003459,-62.9104817668613
"4","1-1-1-1","both",2.25451088495018,2.47423812792322,1.01442332427077,-63.5954309371054
"5","1-1-1-2","171221",2.61681265866233,2.91409156994379,1.28227188516399,-66.9139496165978
"6","1-1-1-2-1","171221",2.64077065866233,3.06338147048018,1.55262241450696,-65.4088407110522
"7","1-1-1-3","171221",2.53781065866233,3.15439655993112,1.87342859967631,-85.9201507854115
"8","1-1-2","171221",2.66780165866233,3.00206776648564,1.37667904197405,-49.36880233057
"9","1-1-3","171221",2.81227965866233,3.24483795105015,1.61865884300845,-47.0745506762211
"10","1-1-4","171221",2.96221765866233,3.64815170208181,2.12938427347237,-47.0234171359945
"11","1-1-5","171221",2.98962765866233,3.68628026951505,2.15656873017699,-49.9030809728399
"12","1-1-6","171221",3.28646165866233,4.30558743055457,2.78159179037686,-44.0067973656783
"13","1-2","both",1.94948588495018,2.22659574169059,1.07133603063825,-77.4335072240454
"14","1-2-1","both",1.93444438495018,2.36068195678681,1.34143288652459,-82.3751108626895
"15","1-2-2","both",1.95794738495018,2.57859494301394,1.66714072262454,-80.1471322583972
"16","1-2-3","171221",2.34375165866233,3.31303627762782,2.34158867852481,-84.6076182916117
"17","1-3","both",2.14928388495018,2.52646354576653,1.31835714258782,-69.2483445039065
"18","1-4","both",2.65086988495018,3.36312458918283,2.05661066994903,-70.2064682907477
"19","1-4-1","171221",3.15211665866233,3.97540294304496,2.42239326488371,-65.2682598746133
"20","1-4-2","171221",3.17389565866233,3.99269367493044,2.42239326488371,-65.2682598746133
"21","1-5","171221",3.10253365866233,3.77141336604915,2.14425830404863,-69.8424563078717
"22","1-6","171221",3.11205465866233,3.81732236663921,2.21067090548143,-72.1854732156938
"23","1-7","171221",3.12657865866233,3.90810473105756,2.34473633488112,-73.0808800812676
"24","1-8","171221",3.42356065866233,4.38699606790444,2.74316731466905,-72.3501631018292
"25","1-8-1","171221",3.68857165866233,4.64531783646222,2.82372394554904,-76.9436230411076
