"","X.Label","X_est.x","Y_est.x","Z_est.x","reflat.x","reflong.x","rlat.x","m.lat.x","m.long.x","meterslat.x","meterslong.x","metersalt.x","ground.alt.x","vert.dist.x","center.dist.x","hor.dist.x","meterslat.or.x","meterslong.or.x","theta.x","thetadeg.x","X_est.y","Y_est.y","Z_est.y","reflat.y","reflong.y","rlat.y","m.lat.y","m.long.y","meterslat.y","meterslong.y","metersalt.y","ground.alt.y","vert.dist.y","center.dist.y","hor.dist.y","meterslat.or.y","meterslong.or.y","theta.y","thetadeg.y","is.in","avg.hor.dist","diff.hor.dist","avg.vert.dist","diff.vert.dist","avg.center.dist","diff.center.dist","avg.theta","diff.theta"
"1","1",-88.090005,41.819871,35.655896,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.91845792,-7318877.06849924,35.655896,34.0455853413377,1.61031065866233,1.62967368128865,0.250471335851838,-0.0246821688488126,0.249252242967486,-0.916790008523168,-52.5281981881403,-88.090011,41.819878,102.945926,41.819881,-88.090011,0.729894616242219,111069.75739815,83084.0678820478,4644923.70388024,-7318876.45365434,102.945926,101.593858888762,1.35206711123803,1.39252069712934,0.333209271542728,-0.333209271542728,0,-1.98999515072466,-114.018323388023,"both",0.291840303697283,-0.0827379356908901,1.48118888495018,0.2582435474243,1.511097189209,0.237152984159312,-83.2732607880816,61.4901251998827
"2","1-1",-88.090003,41.819869,36.010128,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.6963184,-7318876.90233108,36.010128,34.0455853413377,1.96454265866233,2.02309735639221,0.483213261135388,-0.24682168290019,0.41542040463537,-1.35419323506825,-77.5895570145781,-88.090008,41.819877,103.189811,41.819881,-88.090011,0.729894616242219,111069.75739815,83084.0678820478,4644923.59281048,-7318876.20440213,103.189811,101.593858888762,1.59595211123803,1.67528315784442,0.509421748251923,-0.444279029965401,0.249252203851938,-1.47872591082691,-84.7247537470203,"both",0.496317504693655,-0.0262084871165352,1.78024738495018,0.368590547424297,1.84919025711832,0.347814198547789,-81.1571553807992,7.13519673244222
"3","1-1-1",-88.089997,41.819868,36.516685,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.58524864,-7318876.4038266,36.516685,34.0455853413377,2.47109965866233,2.65888670436401,0.981501392562736,-0.357891440391541,0.913924887776375,-1.19132955572751,-68.2581555523817,-88.090002,41.819874,103.59333,41.819881,-88.090011,0.729894616242219,111069.75739815,83084.0678820478,4644923.25960121,-7318875.70589772,103.59333,101.593858888762,1.99947111123802,2.27189628587725,1.07871590750643,-0.777488301508129,0.747756611555815,-1.22408757847516,-70.1350520010155,"both",1.03010865003459,-0.0972145149436969,2.23528538495018,0.471628547424309,2.46539149512063,0.386990418486756,-69.1966037766986,1.87689644863384
"4","1-1-1-1",-88.089997,41.819867,36.570739,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.47417889,-7318876.4038266,36.570739,34.0455853413377,2.52515365866233,2.7260932310908,1.02722115668599,-0.468961196951568,0.913924887776375,-1.29218234649066,-74.0365948152261,-88.090002,41.819875,103.577727,41.819881,-88.090011,0.729894616242219,111069.75739815,83084.0678820478,4644923.37067096,-7318875.70589772,103.577727,101.593858888762,1.98386811123802,2.22238302475563,1.00162549185555,-0.666418544016778,0.747756611555815,-1.14714402417113,-65.7265110786592,"both",1.01442332427077,0.0255956648304396,2.25451088495018,0.541285547424309,2.47423812792322,0.503710206335165,-69.8815529469427,-8.3100837365669
"5","1-1-1-2",-88.089995,41.819865,36.662398,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.25203937,-7318876.23765844,36.662398,34.0455853413377,2.61681265866233,2.91409156994379,1.28227188516399,-0.691100711934268,1.08009304851294,-1.38729578883072,-79.4861936362723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"6","1-1-1-2-1",-88.089992,41.819864,36.686356,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.14096962,-7318875.98840619,36.686356,34.0455853413377,2.64077065866233,3.06338147048018,1.55262241450696,-0.802170468494296,1.3293452905491,-1.36102668282786,-77.9810847307267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"7","1-1-1-3",-88.089994,41.819858,36.583396,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644921.47455107,-7318876.15457436,36.583396,34.0455853413377,2.53781065866233,3.15439655993112,1.87342859967631,-1.46858901157975,1.16317712888122,-1.71901657752291,-98.492394805086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"8","1-1-2",-88.089992,41.819868,36.713387,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.58524864,-7318875.98840619,36.713387,34.0455853413377,2.66780165866233,3.00206776648564,1.37667904197405,-0.357891440391541,1.3293452905491,-1.08107520094219,-61.9410463502446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"9","1-1-3",-88.089989,41.819868,36.857865,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.58524864,-7318875.73915395,36.857865,34.0455853413377,2.81227965866233,3.24483795105015,1.61865884300845,-0.357891440391541,1.57859753165394,-1.04103295570447,-59.6467946958957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"10","1-1-4",-88.089983,41.819867,37.007803,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644922.47417889,-7318875.24064947,37.007803,34.0455853413377,2.96221765866233,3.64815170208181,2.12938427347237,-0.468961196951568,2.07710201479495,-1.04014050706931,-59.5956611556691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
