"","node","label"
"1","9.1","both"
"2","9.10","both"
"3","9.13","both"
"4","9.14","both"
"5","9.16","both"
"6","9.18","both"
"7","9.2","both"
"8","9.21","both"
"9","9.21.1","both"
"10","9.21.2","both"
"11","9.21.3","both"
"12","9.22","both"
"13","9.22.4","both"
"14","9.26","both"
"15","9.28","both"
"16","9.29","both"
"17","9.6","both"
"18","9.9","both"
"19","point 23","both"
"20","point 24","both"
"21","point 25","both"
"22","point 26","both"
"23","point 27","both"
"24","point 28","both"
"25","point 29","both"
"26","point 30","both"
"27","point 31","both"
"28","point 32","both"
"29","point 33","both"
"30","point 34","both"
"31","point 35","both"
"32","point 36","both"
"33","9","171221"
"34","9.3","171221"
"35","9.4","171221"
"36","9.5","171221"
"37","9.8","171221"
"38","9.11","171221"
"39","9.15","171221"
"40","9.14.1","171221"
"41","9.14.3","171221"
"42","9.14.2","171221"
"43","9.14.5","171221"
"44","9.14.6","171221"
"45","9.14.7","171221"
"46","9.14.8","171221"
"47","9.17","171221"
"48","9.19","171221"
"49","9.20","171221"
"50","9.21.4","171221"
"51","9.21.5","171221"
"52","9.21.6","171221"
"53","9.21.7","171221"
"54","9.22.3","171221"
"55","9.23","171221"
"56","9.25","171221"
"57","9.27","171221"
"58","9.30","171221"
"59",NA,"171221"
"60","1","180109"
"61","2","180109"
"62","3","180109"
"63","4","180109"
"64","5","180109"
"65",NA,"180109"
