"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"1","1","both",1.99084769038581,2.13010615876677,0.743538957411602,0
"2","1","both",2.0553361903858,2.18520367898685,0.733427322694281,2.70632075432202
"3","1-1","both",2.40055169038581,2.66273010055094,1.150620096521,-1.54406373623273
"4","1-10","both",3.77435169038581,8.651554367479,7.78482919357264,-8.94048347184225
"5","1-11","both",3.62208069038581,9.48413881727792,8.76517817172046,-6.23402831036124
"6","1-12","both",3.97698969038581,9.84176519464684,9.00234864108858,-6.23719555875817
"7","1-13","both",4.08812969038581,10.2467264208771,9.395881955105,-5.88614688844716
"8","1-2","both",2.83356069038581,3.5086539758033,2.06896435220453,-10.1805741267261
"9","1-3","both",2.92675319038582,5.08283024064855,4.15556908444513,-1.8028887663993
"10","1-4","both",2.87554469038581,5.36652728366412,4.53059453342564,-0.454343069190767
"11","1-5","both",3.09423619038581,5.86614378198217,4.98360534362545,-2.56465900460481
"12","1-5-.5","both",3.73785769038582,6.26333931250933,5.02556436594215,0.523137844119002
"13","1-5-1","both",3.87158669038581,6.26685897814763,4.92775930774402,-0.246283032431837
"14","1-6","both",3.32972769038581,6.53793362650904,5.62640741892234,-4.58145226595363
"15","1-7","both",3.42028969038581,7.02305701977161,6.13391540047519,-7.09112214639451
"16","1-7-1","both",3.2280331903858,7.90529290839554,7.21618931303347,-7.28960262261074
"17","1-7-2","both",2.99807669038582,8.26434800552862,7.70131959007902,-8.53406855031054
"18","1-7-3","both",3.0192056903858,8.58913068403801,8.04096095206967,-8.16449841711489
"19","1-7-4","171221",3.00623957072193,8.59921682575535,8.05661552140721,-9.94532492628648
"20","1-7-5","171221",2.78812657072194,8.99082504194311,8.54758943565176,-8.06374416559132
"21","1-8","both",3.6028131903858,7.06921125997908,6.08215402438372,-7.28082562749129
"22","1-8-1","both",4.03251869038581,7.43517219380893,6.2466287965503,-5.46751793277179
"23","1-8-1-1","both",4.38282919038581,7.74880146404471,6.39020595485171,-4.61901215898501
"24","1-8-1-2","both",4.59222719038581,8.19314051524855,6.78513541915706,-4.2267726288816
"25","1-8-1-2.5","both",4.50671769038581,8.88945344586337,7.65556375598759,-5.32305808176448
"26","1-8-1-3","both",4.6213306903858,9.29891878166444,8.06558519799129,-5.18833574053302
"27","1-8-2","both",4.04366819038582,8.31660779803752,7.26737256831302,-1.60172987157022
"28","1-8-2-1","both",4.16450719038582,8.36651057160408,7.25634535662158,-1.28298531495861
"29","1-8-2-2","both",4.46618719038582,8.84405246832189,7.63350322026584,-2.12313307187674
"30","1-8-2-3","both",4.37629319038582,8.79910227221993,7.63350322026584,-2.12313307187674
"31","1-8-2-4","both",4.38535069038582,9.23808076578629,8.13065175908473,-2.93189709936624
"32","1-8-3","both",3.98209419038581,8.59554521302841,7.61745627992967,1.71369864679056
"33","1-8-4","both",3.70003469038581,8.80586510773851,7.99076286460261,4.72866200535609
"34","1-9","both",3.74146569038581,7.51545926256744,6.51775720517797,-11.3302570344149
"35","1-9-1","both",3.99718569038581,7.71936293392022,6.6038669088002,-11.7732657083869
"36","1-9-2","171221",4.05319257072193,7.85950307804343,6.73375219461027,-14.4481397531439
"37","1-9-3","both",4.20959069038581,8.46108121246209,7.33950324339252,-16.2853672256234
"38","1-9-4","both",4.20771319038582,8.73171905226106,7.65055564833941,-19.2907005725646
"39","1-9-5","both",4.55348469038582,9.38577301293539,8.20720768319522,-18.1254433898562
"40","1-9.1","171221",3.77610857072193,8.16297740830482,7.23707152311039,-12.5217897647361
"41","1-9.5","171221",3.75196357072195,8.33293823542853,7.44047236399962,-11.8245523174029
"42","8","both",4.18623269038581,4.28490250874293,0.909956267957712,-122.84826658608
"43","8-1","both",4.59290369038581,4.75103438485146,1.21470351529639,-131.460623151253
"44","8-1-.5","both",4.68509919038581,4.8963817072329,1.42262687761332,-131.136478536594
"45","8-1-1","both",4.73331469038581,4.96921542272623,1.51132451859561,-149.075788202268
"46","8-1-2","both",4.68302169038581,5.10298519056605,2.0266399059296,-156.981269066462
"47","8-1-2-1","both",4.79114319038581,5.25851865616882,2.16697471296977,-153.089025980824
"48","8-1-2-2","both",4.88759869038581,5.42021754088154,2.34310410509075,-147.725160713038
"49","8-1-2-3","both",4.93680919038582,5.58845888986232,2.6186505086415,-153.465014393241
"50","8-1-2-4","both",4.92777469038582,5.67807757498297,2.82073877682579,-156.083311150198
"51","8-1-3","both",4.18737419038581,5.10726914781879,2.92377070980869,-157.253942248785
"52","8-1-3-1","both",4.16494869038581,5.3454372693511,3.35058120454081,-154.040022679972
"53","8-1-4","both",4.23176269038582,5.48633095409957,3.49170581664826,-175.096095089903
"54","8-1-5","both",4.23115819038581,6.30032236638017,4.66810175818584,-165.593670644026
"55","8-1-5-2","both",4.17002519038581,6.81485801161954,5.3900431411036,-165.624860630432
"56","8-1-5-3","both",4.2872056903858,7.06260505452629,5.61248663150797,-166.481880861958
"57","8-1-5-4","both",4.34604669038582,7.31974414903267,5.88984905614623,-165.645508499799
"58","8-1-5-5","both",4.51190869038581,7.46382984174673,5.94567403540088,-166.44624103528
"59","8-1-5-6","both",4.56182469038581,7.72070142989691,6.22886941461642,-168.329147828649
"60","8-1-6","both",4.87918719038581,7.32465262616543,5.4629677922806,-161.26741196674
"61","8-10","both",10.7193471903858,12.8225425770563,7.03641880238181,-90.9687645826047
"62","8-11","171221",11.0358755707219,13.2102373609913,7.26084165378038,-90.386256778263
"63","8-12","171221",11.496358570722,13.8984883843997,7.81035972184899,-88.7076396804514
"64","8-2","both",5.33657619038581,5.51317103293353,1.38419113200951,-94.7228334439963
"65","8-2-.5","171221",5.29481257072194,5.4832319865839,1.42505889689575,-94.2987556977824
"66","8-2-.55","both",5.45482669038581,5.7642491732721,1.86311492782324,-82.7694521222797
"67","8-2-1","both",5.45050669038581,5.7865943411375,1.94335035737282,-89.1672721486629
"68","8-2-10","both",6.90082119038581,9.52433020136479,6.56424641208792,-65.6392483866095
"69","8-2-11","both",7.1075346903858,10.1668262153076,7.26947606285657,-64.415332554953
"70","8-2-11-1","both",7.29515719038581,10.352266274362,7.34472164637197,-63.2029491994554
"71","8-2-11-2","171221",7.61841357072194,10.6791055960452,7.48351996034775,-67.7766501810659
"72","8-2-11-3","171221",7.83062657072193,10.9450212713224,7.64688028803929,-68.0076576277592
"73","8-2-2","both",5.43963419038582,5.98473206895873,2.49534577823132,-83.5997268171139
"74","8-2-2.5","both",5.54430869038582,6.25751160603204,2.90105003258241,-81.3993436096596
"75","8-2-3","both",5.91797069038581,6.92575563704585,3.59771681344864,-78.5495854896125
"76","8-2-4","both",6.0862816903858,7.50139022618172,4.38488672641763,-77.3407625745191
"77","8-2-4-1","both",6.08190969038581,7.47447900893579,4.34485130932087,-78.0843218094399
"78","8-2-4-2","both",6.17443269038581,7.90702464315268,4.93874396902635,-80.3965773613665
"79","8-2-4-3","both",6.02716069038581,8.10711912455141,5.42195042515448,-82.9406604541868
"80","8-2-4-3-.5","171221",6.08158957072195,8.14879728904661,5.42375935595039,-87.3032113791195
"81","8-2-4-3-1","both",5.82023769038581,8.04561090127566,5.55480174655023,-86.2470713176672
"82","8-2-4-3-2","both",5.91477619038581,8.17730432999517,5.64641688464089,-86.6480424443995
"83","8-2-4-3-3","both",5.88554169038581,8.55101244184629,6.20299215742693,-88.8087532903503
"84","8-2-4-3-4","171221",6.06976557072196,8.66613738754108,6.18545739102742,-94.6286961082648
"85","8-2-4-3-5","171221",6.49204557072196,8.98245292549963,6.20788247846932,-97.7975993271227
"86","8-2-4-3.5","171221",6.17679857072196,8.20056449393878,5.39410951279046,-84.9710184112903
"87","8-2-4-3.55","171221",6.29955857072196,8.79521940254893,6.13770691325488,-84.1803978882683
"88","8-2-4-4","both",7.20063719038581,10.1559949851067,7.1618966800886,-81.6560964320377
"89","8-2-5","both",6.30384019038581,7.75486757122873,4.51607860046171,-72.3587230498196
"90","8-2-5-1","both",6.74790569038581,8.15339311082054,4.57630487262086,-69.6141390357813
"91","8-2-7","both",6.57611569038581,8.38803790513972,5.20697235624247,-66.0573491620397
"92","8-2-9","both",6.80093919038582,9.0509817882345,5.97213203714136,-65.6991605472616
"93","8-3","both",6.36314369038581,6.63572311268993,1.88219781960582,-114.257110067341
"94","8-3-.5","both",6.44074769038582,6.82018045813103,2.24301452944611,-121.853073297638
"95","8-3-1","both",6.42570969038582,6.87724994411726,2.45083643792646,-126.35234823511
"96","8-3-1.0","both",6.36833419038581,6.86352963821607,2.55971918580146,-123.481378063746
"97","8-3-1.5","both",6.33592969038581,7.01775583030547,3.01725220625533,-130.023477972801
"98","8-3-10","both",6.54375369038581,8.45295274149712,5.35085944092512,-129.953028688595
"99","8-3-10-1","171221",6.50619857072195,8.90162392712117,6.07521923046665,-136.69435183845
"100","8-3-10-2","171221",6.45940457072194,9.02854656176673,6.30799061585592,-137.115200316103
"101","8-3-12","171221",6.40213257072193,8.42659872155052,5.47907515562055,-131.668032650349
"102","8-3-13","171221",6.21979057072195,8.59768852737863,5.93586162828754,-132.952572137297
"103","8-3-14","171221",6.26958357072195,8.95966753196467,6.4006221676549,-132.263626875322
"104","8-3-2","both",6.44924269038582,7.18234389074468,3.16121157285407,-128.175616747146
"105","8-3-2.5","171221",6.41350557072195,7.30062276136602,3.48798494808881,-132.761023639004
"106","8-3-3","both",6.35804669038582,7.28021039982642,3.54628001496117,-132.033894015307
"107","8-3-4","both",6.67830169038581,7.84904811070368,4.12398543187946,-131.15211926499
"108","8-3-5","both",6.87747219038582,8.12775928219555,4.33124469612088,-132.373051715754
"109","8-3-6","both",7.02868469038582,8.33157913984471,4.47356392187891,-129.708940936814
"110","8-3-7","both",6.81836769038581,8.20698914243605,4.56777095341652,-129.27343663398
"111","8-3-8","both",6.96398019038581,8.35587968955856,4.6177594479241,-128.445479729522
"112","8-4","both",7.69011669038582,8.19428972072759,2.82862275824756,-106.602794361524
"113","8-4-.0","171221",7.96096557072195,8.5335465713933,3.07318145704384,-110.072829881414
"114","8-4-.1","both",8.13164119038581,9.02786306926496,3.92156146857431,-108.457392708003
"115","8-4-.1-1","171221",8.08888657072194,8.99407141789224,3.93233196921883,-111.88900391954
"116","8-4-.2","171221",8.27446457072193,9.13018121219709,3.85920264244109,-114.625293194873
"117","8-4-.3","171221",8.31180957072195,9.22076324885551,3.99202912708555,-115.208792241393
"118","8-4-.5","both",8.26202819038581,9.21549850824069,4.08208429386621,-109.8014686497
"119","8-4-.55","both",8.34052719038581,9.56221744091068,4.67659184540034,-112.326595930141
"120","8-4-1","both",8.41644369038582,9.62988290452322,4.67938640952009,-114.871601753607
"121","8-4-1.5","171221",8.60568557072193,10.0159146570717,5.12452166310307,-116.617653547725
"122","8-4-10","171221",10.047802570722,12.4476672911313,7.34752233684894,-129.592264082009
"123","8-4-2","both",8.65490319038581,10.0345203635298,5.07759559192061,-114.45732590917
"124","8-4-2-1","171221",9.08346057072194,10.3974599816057,5.05943851916705,-117.19891518094
"125","8-4-2-2","171221",9.28846557072194,10.4817700697103,4.85715051607295,-115.767854923026
"126","8-4-3","both",8.75907519038581,10.3300436917121,5.4760317445996,-114.10332516801
"127","8-4-3.5","171221",8.91869357072196,10.6695913608651,5.856371299654,-116.520746370212
"128","8-4-4","both",8.97795269038581,10.8640018058203,6.11703795165291,-116.022241091599
"129","8-4-4-2","both",9.90774869038582,12.3258933862477,7.33237302946173,-117.676283631023
"130","8-4-5","both",8.95138519038582,11.0212377296931,6.42948093702383,-117.57219571664
"131","8-4-7","171221",9.06870357072194,11.5231991724941,7.1093413700106,-122.513550621379
"132","8-4-8","171221",9.11613557072195,11.8678397006209,7.5987953924192,-123.614785992114
"133","8-4-9","both",9.37627469038581,12.1294940269083,7.69466380259979,-121.482341631682
"134","8-4-9-1","both",9.45196869038583,12.231850789843,7.76383565944043,-121.549970290255
"135","8-5","both",8.58998319038581,9.06924456899993,2.90917640499539,-100.749198658116
"136","8-5-.1","171221",8.81528157072194,9.38305479831167,3.21442501499256,-101.881891606224
"137","8-5-.5","both",9.89566269038582,10.4791964656422,3.4473864870658,-89.8856000961666
"138","8-5-.55","171221",10.2080175707219,10.8530050196503,3.6856607592651,-95.1041918978793
"139","8-5-1","both",10.5099886903858,11.2406597545997,3.98605143512474,-91.2447958757711
"140","8-5-1-1","both",10.8823801903858,11.65940146478,4.18483798274377,-96.0869542211205
"141","8-5-1.5","171221",10.7272155707219,11.5113600394282,4.17591379899131,-88.4239181630964
"142","8-5-2","both",11.2806101903858,12.0979008245743,4.37056598549321,-82.4539377336932
"143","8-5-2-.1","171221",11.4518055707219,12.2874948058982,4.45406306369318,-82.0425561242946
"144","8-5-2-.5","171221",11.5582655707219,12.3847823927196,4.4485201934667,-80.6146428839994
"145","8-5-2-1","both",11.7879916903858,12.6967789740678,4.71581141698175,-76.5575559497667
"146","8-5-2-2","both",12.8270886903858,13.9064617289406,5.37112687483806,-63.950297529034
"147","8-5-3","both",12.2218586903858,13.2971268252884,5.23819283444004,-81.3549854023628
"148","8-5-3-1","both",12.7579181903858,13.8010867100659,5.26303591125318,-78.9037564213771
"149","8-6","both",9.32427519038582,10.06153311286,3.78048683069898,-99.2646500454742
"150","8-6-1","both",9.94786719038581,10.9888180510709,4.66826657519841,-103.531456271437
"151","8-6-1-1","both",10.2030256903858,11.6475453233828,5.61777521235496,-105.501518674655
"152","8-6-2","both",11.3264001903858,12.7787766389944,5.91673013279127,-105.712717382956
"153","8-6-3","both",11.4381056903858,13.1109010188604,6.40779985400046,-106.633537192
"154","8-6-4","both",12.2856816903858,14.0633576175926,6.84283999507022,-106.632378095755
"155","8-6.5","both",10.1516961903858,11.2552571234194,4.85173714943294,-98.5098204702852
"156","8-6.5","both",10.1016996903858,11.301951280781,5.06796190852631,-93.0940009825511
"157","8-6.55","171221",10.158518570722,11.3225129557474,5.00037999369708,-98.6067633378718
"158","8-7","both",10.4434091903858,11.7628975609769,5.41300878075005,-94.4251293229399
"159","8-7-2","both",11.3407206903858,12.6734841863817,5.65676690085569,-92.4212851471097
"160","8-7-3","both",11.2994831903858,12.6903790777025,5.77631661806276,-92.0671228632615
"161","8-7.5","171221",10.5085525707219,11.9433749723299,5.67578440376739,-94.952526836152
"162","8-8.5","171221",10.6616945707219,12.5473302546329,6.61541876221493,-94.5511612080412
"163","9","171221",6.09971257072195,6.13774862350485,0.682249748927973,-102.484695841166
"164","9-1","both",6.49791169038581,6.5383734755426,0.724886557237629,-94.3585786266535
"165","9-10","both",7.95672719038582,8.50187409166387,2.99521191219961,-55.2805246759962
"166","9-11","171221",8.00921557072195,8.70540935740578,3.41124874814388,-54.4519418289424
"167","9-13","both",8.17366519038582,8.93968815342278,3.6200799726289,-53.3395870218414
"168","9-14","both",8.2904711903858,9.14274755909997,3.85448715433389,-53.0017104989209
"169","9-14-1","171221",8.47823157072193,9.2886335139558,3.79450945311735,-57.0059944254422
"170","9-14-2","171221",8.57217457072196,9.42261833031619,3.91197639664129,-59.4112126110823
"171","9-14-3","171221",8.90708957072195,9.73360422819685,3.92515052581527,-62.8742165139569
"172","9-14-5","171221",9.06845857072193,9.881485085715,3.92515052581527,-62.8742165139569
"173","9-14-6","171221",9.09486657072193,9.90572584869697,3.92515052581527,-62.8742165139569
"174","9-14-7","171221",9.23908757072195,10.0383039299364,3.92515052581527,-62.8742165139569
"175","9-14-8","171221",9.24633257072193,10.0449725066175,3.92515052581527,-62.8742165139569
"176","9-15","171221",8.29699257072195,9.12823111183251,3.80585305975043,-53.4336494826796
"177","9-16","both",8.19012319038582,9.14738818608698,4.07346255352209,-51.7556334408786
"178","9-17","171221",8.41498857072193,9.45269761759377,4.30597951740161,-54.9019331493938
"179","9-18","both",8.57666969038581,9.75235649034858,4.64202683773436,-51.1331811547625
"180","9-19","171221",8.59801457072194,10.0327842538945,5.17019393512917,-53.7023804754552
"181","9-2","both",7.36193919038581,7.53901870382471,1.6229679352885,-66.0867467661956
"182","9-20","171221",8.60584457072196,10.0640411732951,5.2176971895994,-52.5948267666276
"183","9-21","both",8.73964969038582,10.1829381748334,5.22564656869366,-51.3934918454107
"184","9-21-1","both",8.97134969038582,10.4095956956651,5.27895868520878,-52.3225581595823
"185","9-21-2","both",9.35089069038581,10.7841736511497,5.37196995229538,-53.392237952044
"186","9-21-3","both",9.45089719038582,10.8738092775957,5.37736205121211,-52.1266194853282
"187","9-21-4","171221",9.55967957072195,11.0006591854593,5.44307165300548,-53.7399602585061
"188","9-21-5","171221",9.64861957072193,11.0780363169774,5.44307165300548,-53.7399602585061
"189","9-21-6","171221",9.69362157072194,11.117253625609,5.44307165300548,-53.7399602585061
"190","9-21-7","171221",9.74498857072194,11.1620711009764,5.44307165300548,-53.7399602585061
"191","9-22","both",9.1871626903858,11.0022550128602,6.05344391202667,-50.335187924076
"192","9-22-3","171221",9.49771357072194,11.4452314060376,6.38645119501234,-49.8961799503528
"193","9-22-4","both",9.64805819038581,11.7651933258246,6.73276103870017,-44.5648490527669
"194","9-23","171221",9.24220357072195,11.3367276407722,6.5652925874162,-55.0422179647155
"195","9-25","171221",9.36112057072194,11.63789949182,6.91448669404397,-55.2926563155691
"196","9-26","both",9.39569019038581,11.725580776013,7.01472754474227,-52.0577953125816
