"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"1","1","both",4.67658426265184,4.70122425906709,0.456344937241426,20.6392558618824
"2","1--10","171221",7.30292744349325,7.73524520712224,2.54975864924128,207.14095150692
"3","1-1","both",4.94938726265184,4.97230472777315,0.384232858569413,87.213453589927
"4","1-1-1","both",4.82117776265183,4.91058782611242,0.870796496664564,81.0558833710296
"5","1-1-1.1","180109",4.77071608181043,5.07782215481289,1.73912216438751,58.8573600694405
"6","1-1-2","both",4.85723326265185,5.17875635820672,1.77512924079151,94.1547278351605
"7","1-1-3","both",4.88565826265184,5.40984261775292,2.30648388991078,96.8056898879022
"8","1-10.1","180109",7.50458608181043,7.88306360299558,2.41327153664291,139.5893206313
"9","1-10.1-1","180109",7.48280308181043,7.8817725289036,2.47588292054121,154.147073742576
"10","1-10.2","180109",7.66735308181043,8.06252703254031,2.49319852183803,136.941153471644
"11","1-10.3","180109",7.69660408181045,8.11692003977746,2.57811491985903,134.462418133512
"12","1-11","both",7.77457376265184,8.3093423684138,2.93254278377299,171.532107443746
"13","1-11-1","180109",7.91909508181044,8.53532576721859,3.18429254902738,142.669740315624
"14","1-12","both",7.78072476265183,8.30484884170999,2.90337895867612,170.013260773914
"15","1-12-.1","180109",8.21203708181045,8.67432189293915,2.7939769629139,133.342982470022
"16","1-12-1","both",8.28478076265183,8.73929167998732,2.78164226637826,170.009712294007
"17","1-12-2","180109",8.67481408181044,9.15356213050406,2.92152363040612,134.436094463618
"18","1-12-3","180109",9.00832808181045,9.42644785777913,2.77631849503871,131.672806465273
"19","1-12.1","180109",7.97841808181045,8.66201236981519,3.37272934085608,133.95316520349
"20","1-13","both",7.81976476265183,8.53608399307941,3.42285485612189,166.871002900251
"21","1-14","both",7.96695276265184,8.67698950916851,3.43766180266674,167.528994373971
"22","1-14-1","180109",8.09085808181044,8.80065361285925,3.46258855677877,132.181555986799
"23","1-14-2","180109",8.25728008181045,8.94762681735649,3.44635333551472,130.830086711212
"24","1-14-3","180109",8.34475408181044,9.0229656497022,3.43205309251093,129.466590961004
"25","1-14-4","180109",8.34879808181043,9.02202085312254,3.41971210240518,128.09247088155
"26","1-14-5","180109",8.53451408181044,9.23564964115263,3.52977246880049,127.846085824617
"27","1-14-6","180109",8.55902008181044,9.25829997582366,3.52977246880049,127.846085824617
"28","1-14-7","180109",8.72540708181043,9.45043946033651,3.6301621520502,126.314038288846
"29","1-14.1","180109",8.11395208181045,8.86513399321279,3.57132781073101,131.812783720233
"30","1-15","both",8.08279576265184,8.91294326635979,3.7561757429569,166.007066779399
"31","1-16","both",8.06661326265184,9.02935579274502,4.05692609465578,163.590081300214
"32","1-16-1","180109",8.09620708181043,9.17799906448039,4.32285758683367,128.664730999719
"33","1-16.1","both",8.33977726265184,9.28567404731329,4.08241155148771,161.749475817087
"34","1-17","both",8.39449876265184,9.33223838201897,4.07656660090156,161.189362750735
"35","1-17-1","180109",8.67004808181045,9.63436011348763,4.20132848697366,127.765867035825
"36","1-17-2","180109",8.74002508181044,9.69738106326301,4.20132848697366,127.765867035825
"37","1-2","both",5.72983826265184,5.76729968049422,0.654123302785843,180.940005892943
"38","1-3","both",6.06067276265183,6.10448142163085,0.719979214354627,179.29656429226
"39","1-4","both",6.14619326265183,6.2008720942649,0.815932308202626,179.308536719695
"40","1-4-1","180109",6.17717108181043,6.2333030480019,0.834640230443492,123.804764144976
"41","1-5","both",6.36193026265184,6.45394559401442,1.07183760966675,189.695646272711
"42","1-5-1","180109",6.85071208181043,6.89923762047715,0.816837631322099,198.469052105434
"43","1-6","both",6.36088326265184,6.46712553372659,1.15670985530152,186.38704047318
"44","1-6-1","both",6.44920776265184,6.6275616737546,1.52093846028383,192.317397242118
