"","node","label"
"1","1","both"
"2","1.1","both"
"3","1.10","both"
"4","1.11","both"
"5","1.12","both"
"6","1.13","both"
"7","1.2","both"
"8","1.3","both"
"9","1.4","both"
"10","1.5","both"
"11","1.5.*5","both"
"12","1.5.1","both"
"13","1.6","both"
"14","1.7","both"
"15","1.7.1","both"
"16","1.7.2","both"
"17","1.7.3","both"
"18","1.8","both"
"19","1.8.1","both"
"20","1.8.1.1","both"
"21","1.8.1.2","both"
"22","1.8.1.2*5","both"
"23","1.8.1.3","both"
"24","1.8.2","both"
"25","1.8.2.1","both"
"26","1.8.2.2","both"
"27","1.8.2.3","both"
"28","1.8.2.4","both"
"29","1.8.3","both"
"30","1.8.4","both"
"31","1.9","both"
"32","1.9.1","both"
"33","1.9.3","both"
"34","1.9.4","both"
"35","1.9.5","both"
"36","point 23","both"
"37","point 24","both"
"38","point 25","both"
"39","point 26","both"
"40","point 27","both"
"41","point 28","both"
"42","point 29","both"
"43","point 30","both"
"44","point 31","both"
"45","point 32","both"
"46","point 33","both"
"47","point 34","both"
"48","point 35","both"
"49","point 36","both"
"50","1.9.2","171221"
"51","1.7.5","171221"
"52","1.7.4","171221"
"53","1.9*1","171221"
"54","1.9*5","171221"
"55","1.3.1","180109"
"56","1.3.1.1","180109"
"57","1.5.2","180109"
"58","1.5.1.1","180109"
"59","1.5.2.1","180109"
"60","1.6.1","180109"
"61","1.6.2","180109"
"62","1.7.3.1","180109"
"63","1.8.1.2*55","180109"
"64","1.8.5","180109"
"65","1.8.4.1","180109"
"66","1.8.6","180109"
"67","1.8.7","180109"
"68","1.8.2.5","180109"
"69","1.8.2.6","180109"
"70","1.9.6","180109"
"71","1.9.5.1","180109"
"72","1.9.5.2","180109"
"73","1.9.5.3","180109"
"74","1.9.5.4","180109"
"75","1.9.4*5","180109"
"76","1.10.1","180109"
"77","1.10*5","180109"
"78","1.11.1","180109"
"79","1.11.2","180109"
"80","1.11.3","180109"
"81","1.12.1","180109"
"82","1.12.2","180109"
"83","1.14","180109"
"84","1.14.1","180109"
"85","1.14.2","180109"
"86","1.14.2.1","180109"
"87","1.15","180109"
"88","1.16","180109"
"89","1.12.1*2","180109"
"90","1.12.1*5","180109"
