# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049428,41.814066,138.703439
point 24,,,,,,,,-88.049348,41.813909,138.840280
point 25,,,,,,,,-88.049461,41.813929,138.965717
point 26,,,,,,,,-88.049660,41.814115,138.754888
point 27,,,,,,,,-88.049614,41.814002,138.912930
point 28,,,,,,,,-88.049551,41.814201,138.761451
point 29,,,,,,,,-88.049287,41.814213,138.351275
point 30,,,,,,,,-88.049240,41.814100,138.316205
point 31,,,,,,,,-88.049444,41.814064,138.722480
point 32,,,,,,,,-88.049589,41.813934,139.070214
point 33,,,,,,,,-88.049696,41.814166,138.847583
point 34,,,,,,,,-88.049398,41.814280,138.664689
point 35,,,,,,,,-88.049197,41.814069,138.400124
point 36,,,,,,,,-88.049307,41.813906,138.896571
10,,,,,,,,-88.049436,41.814069,145.200535
10-1,,,,,,,,-88.049440,41.814064,145.784532
10-2,,,,,,,,-88.049443,41.814067,146.761689
10-3,,,,,,,,-88.049445,41.814059,147.635945
10-4,,,,,,,,-88.049453,41.814062,148.888085
10-5,,,,,,,,-88.049458,41.814051,150.358678
10-6,,,,,,,,-88.049461,41.814051,150.960086
10-1-1,,,,,,,,-88.049440,41.814061,146.059744
10-1-2,,,,,,,,-88.049441,41.814048,146.258002
10-1-3,,,,,,,,-88.049439,41.814043,146.225285
10-1-4,,,,,,,,-88.049439,41.814035,145.999181
10-1-3-1,,,,,,,,-88.049438,41.814043,146.291175
10-1-3-1-2,,,,,,,,-88.049437,41.814043,146.394136
10-1-2-1,,,,,,,,-88.049444,41.814049,147.346959
10-1-3-2,,,,,,,,-88.049443,41.814040,146.573293
10-1-3-2-1,,,,,,,,-88.049442,41.814040,146.630795
10-1-4-1,,,,,,,,-88.049434,41.814029,146.513534
10-1-4-2,,,,,,,,-88.049435,41.814026,146.797671
10-1-5,,,,,,,,-88.049447,41.814032,146.272661
10-1-6,,,,,,,,-88.049447,41.814031,146.274574
10-1-7,,,,,,,,-88.049448,41.814027,146.268309
10-1-9,,,,,,,,-88.049450,41.814021,146.919548
10-1-8,,,,,,,,-88.049451,41.814026,146.517104
10-1-10,,,,,,,,-88.049449,41.814020,146.905385
10-2-1,,,,,,,,-88.049464,41.814071,147.556502
10-2-2,,,,,,,,-88.049464,41.814073,147.634274
10-2-3,,,,,,,,-88.049470,41.814073,147.772109
10-3-1,,,,,,,,-88.049445,41.814057,147.948838
10-3-2,,,,,,,,-88.049444,41.814055,148.187293
10-3-3,,,,,,,,-88.049441,41.814050,148.878088
10-3-3-1,,,,,,,,-88.049440,41.814048,149.061098
10-3-3-2,,,,,,,,-88.049443,41.814044,149.232153
10-3-3-3,,,,,,,,-88.049448,41.814043,149.565842
10-3-3-2-1,,,,,,,,-88.049441,41.814038,149.628151
10-3-3-2-2,,,,,,,,-88.049442,41.814032,149.959104
10-3-3-2-3,,,,,,,,-88.049437,41.814024,150.210522
10-3-3-2-2-1,,,,,,,,-88.049441,41.814030,150.226843
10-3-3-2-2-2,,,,,,,,-88.049441,41.814031,150.265719
10-3-3-2-2-3,,,,,,,,-88.049441,41.814031,150.548670
10-3-3-2-2-4,,,,,,,,-88.049441,41.814028,151.232269
10-4-1,,,,,,,,-88.049456,41.814064,149.422473
10-4-2,,,,,,,,-88.049458,41.814062,150.596492
10-4-3,,,,,,,,-88.049460,41.814062,150.649860
10-6-1,,,,,,,,-88.049466,41.814049,151.256812
10-6-2,,,,,,,,-88.049468,41.814048,151.446136
10-6-3,,,,,,,,-88.049469,41.814045,151.754520
10-3-4,,,,,,,,-88.049434,41.814045,150.016165
10-3-4-1,,,,,,,,-88.049423,41.814038,150.606180
10-3-2.5,,,,,,,,-88.049444,41.814055,148.278258
10-3-3-2-.5,,,,,,,,-88.049442,41.814041,149.276283
10-3-3-2-2-.5,,,,,,,,-88.049442,41.814032,150.159276
10-3-5,,,,,,,,-88.049434,41.814045,150.824440
10-4-1-1,,,,,,,,-88.049461,41.814065,149.640728
10-6-.5,,,,,,,,-88.049460,41.814050,150.938299
10-3-.5,,,,,,,,-88.049444,41.814059,147.598058
10-3-3-2.5,,,,,,,,-88.049445,41.814045,149.304244
