"","node","tree","date","branch","main.nodeto","branch.nodeto"
"1","4.2.4.2","walnut2","date1","main","4.2.4.3","end"
"2","6.2.2","walnut2","date1","branch","6.2.3","6.2.2.1"
"3","8.4.4","memorialoak","date1","branch","8.4.5","8.4.4.2"
"4","8.6*5","memorialoak","date1","main","8.6.2","end"
"5","9.8","memorialoak","date1","main","9.10","end"
"6","3.5.1.1","walnut2","date2","main","end","end"
"7","4.2.10","walnut2","date2","branch","4.2.10.1","4.2.10.1"
"8","4.2.4","walnut2","date2","main","4.2.4.2","4.2.4.2"
"9","4.2.4.2","walnut2","date2","main","end","end"
"10","6.2.2","walnut2","date2","branch","6.2.2.1","6.2.2.1"
"11","7.3*1","walnut2","date2","main","end","end"
"12","5.11.1","memorialoak","date2","main","end","end"
"13","8.4.4","memorialoak","date2","branch","8.4.4.2","8.4.4.2"
"14","8.6*5","memorialoak","date2","main","end","end"
